x	y	intensity	time_series
28	-57	224	1
29	-58	198	2
30	-58	196	3
31	-58	187	4
32	-59	140	5
33	-59	132	6
34	-59	128	7
35	-59	135	8
36	-59	138	9
37	-59	138	10
38	-59	135	11
39	-60	119	12
40	-60	114	13
41	-60	114	14
42	-60	115	15
43	-60	114	16
44	-60	113	17
45	-60	120	18
46	-60	119	19
47	-60	112	20
48	-60	109	21
49	-60	113	22
50	-61	123	23
51	-61	126	24
52	-61	125	25
53	-61	127	26
54	-61	134	27
55	-61	132	28
56	-61	129	29
57	-61	132	30
58	-61	135	31
59	-61	135	32
60	-61	133	33
61	-62	168	34
62	-62	167	35
63	-62	170	36
64	-62	173	37
65	-62	176	38
66	-62	178	39
67	-62	178	40
68	-62	180	41
69	-62	182	42
70	-62	186	43
71	-62	191	44
72	-62	194	45
73	-62	195	46
74	-62	195	47
75	-61	174	48
76	-61	165	49
77	-61	159	50
78	-61	155	51
79	-61	153	52
80	-61	155	53
81	-61	157	54
82	-61	157	55
83	-61	158	56
84	-61	159	57
85	-60	158	58
86	-60	151	59
87	-60	150	60
88	-59	157	61
89	-59	160	62
90	-59	162	63
91	-59	166	64
92	-58	194	65
93	-57	225	66
94	-56	234	67
94	-55	237	68
94	-54	239	69
93	-53	239	70
93	-52	237	71
92	-51	234	72
91	-50	236	73
90	-49	239	74
89	-49	242	75
88	-49	243	76
87	-48	244	77
86	-48	244	78
85	-47	242	79
84	-47	244	80
83	-47	246	81
82	-47	249	82
81	-46	248	83
80	-45	247	84
79	-45	247	85
78	-45	247	86
77	-44	249	87
76	-44	250	88
75	-44	251	89
74	-43	250	90
73	-43	250	91
72	-43	250	92
71	-43	249	93
70	-42	247	94
69	-42	246	95
68	-42	244	96
67	-42	243	97
66	-42	241	98
65	-41	242	99
64	-41	244	100
63	-40	246	101
62	-40	249	102
61	-40	250	103
60	-40	249	104
59	-39	247	105
58	-39	246	106
57	-38	247	107
56	-38	248	108
55	-38	247	109
54	-38	246	110
53	-38	244	111
52	-38	244	112
51	-38	245	113
50	-38	246	114
49	-38	248	115
48	-38	250	116
47	-38	251	117
46	-37	248	118
45	-37	248	119
44	-37	249	120
43	-37	246	121
42	-36	243	122
41	-36	241	123
40	-36	242	124
39	-36	244	125
38	-36	247	126
37	-36	249	127
36	-36	250	128
35	-36	250	129
34	-36	247	130
33	-35	250	131
32	-35	251	132
31	-35	251	133
30	-35	248	134
29	-35	247	135
28	-34	245	136
27	-34	245	137
26	-34	245	138
25	-34	244	139
24	-34	245	140
23	-33	244	141
22	-33	243	142
21	-33	242	143
20	-33	242	144
19	-33	243	145
18	-33	244	146
17	-33	246	147
16	-32	247	148
15	-32	247	149
14	-32	247	150
13	-31	249	151
12	-31	250	152
11	-31	251	153
10	-30	250	154
9	-30	249	155
8	-29	247	156
7	-28	245	157
7	-27	244	158
7	-26	247	159
7	-25	249	160
7	-24	248	161
8	-23	245	162
9	-22	244	163
10	-21	246	164
11	-20	246	165
12	-20	245	166
13	-19	245	167
14	-19	247	168
15	-18	250	169
16	-18	247	170
17	-18	245	171
18	-17	246	172
19	-17	248	173
20	-17	249	174
21	-17	248	175
