x	y	intensity	time_series
23	-49	242	1
24	-50	241	2
25	-50	241	3
26	-50	241	4
27	-51	248	5
28	-51	246	6
29	-51	243	7
30	-51	240	8
31	-52	240	9
32	-52	239	10
33	-52	239	11
34	-52	240	12
35	-53	239	13
36	-53	240	14
37	-54	243	15
38	-54	245	16
39	-54	245	17
40	-55	245	18
41	-55	245	19
42	-55	244	20
43	-55	244	21
44	-55	244	22
45	-55	245	23
46	-55	247	24
47	-55	245	25
48	-55	242	26
49	-55	240	27
50	-55	240	28
51	-56	233	29
52	-56	236	30
53	-56	238	31
54	-56	238	32
55	-56	239	33
56	-56	240	34
57	-56	239	35
58	-57	237	36
59	-57	237	37
60	-57	236	38
61	-57	236	39
62	-57	237	40
63	-57	238	41
64	-57	240	42
65	-56	240	43
66	-56	240	44
67	-56	240	45
68	-56	240	46
69	-56	241	47
70	-56	242	48
71	-56	243	49
72	-56	244	50
73	-56	245	51
74	-56	245	52
75	-55	243	53
76	-55	241	54
77	-55	240	55
78	-54	243	56
79	-53	241	57
78	-52	239	58
78	-51	239	59
78	-50	246	60
77	-49	247	61
77	-48	248	62
76	-47	250	63
75	-47	249	64
74	-46	248	65
73	-46	248	66
72	-45	249	67
71	-45	248	68
70	-45	248	69
69	-45	248	70
68	-44	247	71
67	-44	245	72
66	-43	245	73
65	-43	246	74
64	-43	247	75
63	-42	252	76
62	-42	252	77
61	-41	251	78
60	-41	249	79
59	-41	248	80
58	-41	249	81
57	-41	248	82
56	-40	248	83
55	-40	248	84
54	-40	248	85
53	-40	249	86
52	-39	251	87
51	-39	251	88
50	-38	251	89
49	-38	251	90
48	-38	250	91
47	-37	248	92
46	-37	247	93
45	-37	247	94
44	-37	247	95
43	-37	247	96
42	-36	248	97
41	-36	249	98
40	-36	249	99
39	-36	249	100
38	-35	249	101
37	-35	249	102
36	-34	249	103
35	-34	249	104
34	-34	251	105
33	-34	251	106
32	-34	251	107
31	-34	251	108
30	-33	253	109
29	-33	251	110
28	-33	250	111
27	-33	248	112
26	-32	250	113
25	-32	250	114
24	-32	250	115
23	-31	244	116
22	-31	246	117
21	-31	247	118
20	-30	249	119
19	-30	249	120
18	-29	251	121
17	-29	251	122
16	-29	248	123
15	-28	249	124
14	-28	249	125
13	-28	248	126
12	-27	248	127
11	-27	247	128
10	-26	247	129
9	-25	249	130
8	-24	250	131
8	-23	251	132
7	-22	251	133
7	-21	250	134
7	-20	249	135
7	-19	247	136
8	-18	245	137
9	-17	245	138
10	-17	246	139
11	-17	247	140
12	-16	248	141
13	-15	251	142
14	-15	251	143
15	-15	250	144
16	-14	250	145
17	-14	249	146
18	-13	250	147
19	-13	250	148
20	-13	250	149
21	-12	245	150
22	-12	244	151
23	-12	244	152
