x	y	intensity	time_series
11	-62	154	1
12	-61	132	2
13	-60	140	3
14	-59	130	4
15	-59	129	5
16	-58	155	6
17	-58	179	7
18	-57	228	8
19	-57	235	9
20	-56	245	10
21	-56	244	11
22	-56	245	12
23	-56	245	13
24	-56	243	14
25	-55	243	15
26	-55	244	16
27	-55	246	17
28	-55	246	18
29	-55	248	19
30	-55	251	20
31	-55	252	21
32	-55	248	22
33	-54	244	23
34	-54	245	24
35	-54	248	25
36	-54	249	26
37	-54	248	27
38	-54	246	28
39	-54	245	29
40	-54	246	30
41	-53	247	31
42	-52	244	32
43	-51	248	33
42	-50	249	34
41	-49	251	35
41	-48	247	36
40	-47	245	37
40	-46	243	38
39	-45	244	39
38	-45	245	40
37	-44	244	41
36	-44	243	42
35	-43	252	43
34	-43	253	44
33	-43	251	45
32	-42	251	46
31	-42	251	47
30	-41	251	48
29	-41	251	49
28	-41	251	50
27	-40	247	51
26	-39	245	52
25	-39	245	53
24	-38	246	54
23	-38	247	55
22	-38	248	56
21	-37	250	57
20	-36	249	58
19	-36	249	59
18	-36	249	60
17	-35	247	61
16	-35	248	62
15	-34	247	63
14	-34	247	64
13	-33	249	65
12	-32	250	66
11	-31	249	67
10	-31	248	68
9	-30	243	69
8	-29	238	70
8	-28	237	71
7	-27	243	72
7	-26	248	73
7	-25	244	74
7	-24	244	75
7	-23	241	76
7	-22	234	77
7	-21	231	78
7	-20	232	79
7	-19	236	80
8	-18	237	81
9	-18	239	82
10	-18	237	83
11	-18	236	84
12	-18	231	85
13	-18	229	86
14	-18	227	87
15	-18	230	88
16	-18	231	89
17	-18	233	90
18	-18	225	91
19	-19	233	92
20	-19	239	93
21	-20	238	94
22	-21	237	95
23	-21	237	96
24	-22	232	97
25	-23	233	98
26	-23	232	99
27	-24	239	100
28	-25	237	101
29	-25	244	102
30	-26	247	103
31	-27	240	104
32	-27	242	105
33	-28	240	106
34	-29	247	107
35	-30	246	108
