x	y	intensity	time_series
8	-53	252	1
9	-53	252	2
10	-53	252	3
11	-53	252	4
12	-53	252	5
13	-53	252	6
14	-53	251	7
15	-53	250	8
16	-53	250	9
17	-53	251	10
18	-53	252	11
19	-53	253	12
20	-53	252	13
21	-53	251	14
22	-53	250	15
23	-53	253	16
24	-53	253	17
25	-53	253	18
26	-53	252	19
27	-53	251	20
28	-53	251	21
29	-53	252	22
30	-53	252	23
31	-53	251	24
32	-53	250	25
33	-53	250	26
34	-53	251	27
35	-53	252	28
36	-53	253	29
37	-53	254	30
38	-53	253	31
39	-53	252	32
40	-53	250	33
41	-52	252	34
42	-51	250	35
42	-50	248	36
42	-49	249	37
41	-48	251	38
41	-47	253	39
40	-46	250	40
39	-45	249	41
38	-44	251	42
37	-44	252	43
36	-43	254	44
35	-43	254	45
34	-42	254	46
33	-42	254	47
32	-41	254	48
31	-41	253	49
30	-40	253	50
29	-40	253	51
28	-40	253	52
27	-39	254	53
26	-39	254	54
25	-38	254	55
24	-37	250	56
23	-37	250	57
22	-37	252	58
21	-36	252	59
20	-36	253	60
19	-35	254	61
18	-35	254	62
17	-34	253	63
16	-34	250	64
15	-33	250	65
14	-32	251	66
13	-32	249	67
12	-31	254	68
11	-30	254	69
10	-29	252	70
9	-28	250	71
9	-27	251	72
8	-26	251	73
8	-25	250	74
7	-24	248	75
7	-23	253	76
8	-22	254	77
8	-21	251	78
8	-20	246	79
8	-19	245	80
9	-18	251	81
10	-17	253	82
11	-16	252	83
12	-16	252	84
13	-15	254	85
14	-15	253	86
15	-14	252	87
16	-14	252	88
17	-14	252	89
18	-14	251	90
19	-14	249	91
20	-15	249	92
21	-15	250	93
22	-16	254	94
23	-16	252	95
24	-17	252	96
25	-18	251	97
26	-19	251	98
27	-19	251	99
28	-20	253	100
28	-21	253	101
29	-22	252	102
30	-22	251	103
31	-23	250	104
32	-24	250	105
32	-25	253	106
33	-26	254	107
33	-27	254	108
