x	y	intensity	time_series
9	-59	138	1
10	-59	139	2
11	-59	142	3
12	-59	141	4
13	-59	138	5
14	-59	138	6
15	-59	143	7
16	-59	151	8
17	-59	158	9
18	-59	149	10
19	-59	136	11
20	-59	129	12
21	-59	134	13
22	-60	132	14
23	-60	136	15
24	-60	136	16
25	-60	135	17
26	-60	134	18
27	-60	133	19
28	-61	135	20
29	-61	142	21
30	-61	150	22
31	-61	159	23
32	-62	199	24
33	-62	207	25
34	-62	213	26
35	-62	218	27
36	-62	223	28
37	-62	225	29
38	-62	225	30
39	-62	221	31
40	-62	217	32
41	-62	219	33
42	-63	232	34
43	-63	230	35
44	-63	228	36
45	-63	228	37
46	-63	229	38
47	-63	231	39
48	-64	228	40
49	-64	226	41
50	-64	227	42
51	-64	232	43
52	-64	237	44
53	-64	238	45
54	-64	235	46
55	-64	233	47
56	-64	235	48
57	-64	237	49
58	-64	236	50
59	-64	235	51
60	-64	238	52
61	-64	237	53
62	-64	235	54
63	-64	239	55
64	-63	242	56
65	-63	239	57
66	-63	235	58
67	-63	231	59
68	-63	230	60
69	-63	231	61
70	-63	231	62
71	-63	230	63
72	-63	226	64
73	-63	232	65
74	-62	201	66
75	-62	174	67
76	-61	150	68
77	-60	158	69
78	-59	150	70
79	-58	171	71
79	-57	195	72
79	-56	217	73
79	-55	230	74
79	-54	230	75
79	-53	238	76
78	-52	242	77
78	-51	241	78
78	-50	244	79
77	-49	250	80
76	-48	250	81
75	-47	248	82
74	-47	248	83
73	-47	248	84
72	-46	249	85
71	-46	253	86
70	-45	254	87
69	-45	252	88
68	-44	250	89
67	-44	251	90
66	-43	254	91
65	-43	254	92
64	-43	254	93
63	-43	253	94
62	-42	250	95
61	-42	246	96
60	-42	243	97
59	-41	237	98
58	-41	237	99
57	-41	239	100
56	-40	236	101
55	-40	231	102
54	-40	226	103
53	-40	230	104
52	-39	243	105
51	-39	248	106
50	-39	250	107
49	-39	245	108
48	-38	245	109
47	-38	243	110
46	-38	242	111
45	-37	236	112
44	-37	231	113
43	-37	230	114
42	-37	231	115
41	-37	231	116
40	-36	228	117
39	-36	230	118
38	-36	233	119
37	-35	238	120
36	-35	240	121
35	-35	243	122
34	-35	246	123
33	-35	249	124
32	-34	250	125
31	-34	252	126
30	-34	253	127
29	-34	253	128
28	-33	251	129
27	-33	252	130
26	-33	252	131
25	-33	252	132
24	-32	240	133
23	-32	240	134
22	-32	242	135
21	-31	241	136
20	-31	241	137
19	-30	241	138
18	-30	243	139
17	-29	241	140
16	-29	241	141
15	-28	237	142
14	-27	238	143
13	-26	252	144
12	-26	253	145
11	-25	253	146
11	-24	250	147
10	-23	253	148
9	-22	250	149
9	-21	249	150
9	-20	250	151
9	-19	251	152
9	-18	250	153
9	-17	250	154
9	-16	252	155
9	-15	254	156
9	-14	253	157
10	-13	253	158
11	-12	252	159
12	-11	248	160
13	-10	249	161
14	-9	253	162
15	-9	253	163
16	-8	252	164
17	-7	250	165
18	-7	252	166
19	-6	253	167
20	-6	254	168
21	-6	254	169
22	-6	254	170
23	-6	253	171
24	-5	254	172
25	-5	254	173
26	-5	254	174
27	-5	254	175
28	-5	253	176
29	-6	254	177
30	-6	254	178
31	-6	253	179
32	-6	252	180
33	-7	252	181
34	-7	250	182
35	-8	251	183
36	-9	253	184
37	-9	252	185
38	-9	251	186
39	-10	246	187
40	-11	241	188
41	-12	235	189
41	-13	233	190
42	-14	236	191
43	-15	237	192
44	-16	238	193
