x	y	intensity	time_series
6	-55	227	1
7	-55	226	2
8	-55	235	3
9	-55	238	4
10	-55	236	5
11	-55	236	6
12	-56	230	7
13	-56	232	8
14	-57	233	9
15	-57	234	10
16	-57	232	11
17	-57	230	12
18	-58	222	13
19	-58	224	14
20	-59	222	15
21	-59	228	16
22	-60	229	17
23	-60	230	18
24	-60	226	19
25	-61	218	20
26	-61	223	21
27	-61	227	22
28	-61	230	23
29	-62	232	24
30	-62	231	25
31	-62	232	26
32	-63	235	27
33	-63	237	28
34	-63	239	29
35	-64	226	30
36	-64	219	31
37	-64	211	32
38	-64	204	33
39	-64	193	34
40	-65	161	35
41	-65	160	36
42	-65	160	37
43	-65	160	38
44	-65	159	39
45	-65	157	40
46	-65	155	41
47	-65	153	42
48	-64	168	43
49	-63	214	44
49	-62	237	45
50	-61	231	46
50	-60	231	47
50	-59	228	48
50	-58	228	49
49	-57	228	50
49	-56	234	51
48	-55	245	52
48	-54	251	53
47	-53	250	54
46	-52	250	55
45	-51	248	56
44	-50	251	57
43	-49	246	58
42	-49	249	59
41	-48	254	60
40	-47	252	61
39	-46	249	62
38	-45	251	63
37	-45	251	64
36	-44	253	65
36	-43	253	66
35	-42	252	67
34	-41	251	68
33	-40	252	69
32	-39	253	70
31	-39	253	71
30	-38	254	72
29	-37	253	73
28	-37	253	74
27	-36	253	75
26	-35	254	76
25	-35	254	77
24	-34	253	78
23	-33	252	79
22	-32	253	80
21	-32	253	81
20	-31	254	82
19	-30	253	83
18	-29	251	84
17	-28	250	85
16	-27	252	86
15	-26	251	87
14	-25	249	88
13	-24	249	89
12	-23	252	90
12	-22	252	91
11	-21	251	92
10	-20	249	93
10	-19	250	94
10	-18	252	95
10	-17	251	96
10	-16	251	97
10	-15	250	98
10	-14	250	99
10	-13	252	100
10	-12	253	101
10	-11	253	102
11	-10	254	103
12	-9	253	104
13	-8	252	105
14	-8	252	106
15	-7	252	107
16	-6	251	108
17	-6	250	109
18	-5	251	110
19	-5	253	111
20	-5	254	112
21	-5	254	113
22	-5	254	114
23	-5	254	115
