x	y	intensity	time_series
5	-46	249	1
6	-47	249	2
7	-47	248	3
8	-48	252	4
9	-48	252	5
10	-49	253	6
11	-49	253	7
12	-50	249	8
13	-50	249	9
14	-50	250	10
15	-50	250	11
16	-50	251	12
17	-51	250	13
18	-51	249	14
19	-52	249	15
20	-52	251	16
21	-52	251	17
22	-52	251	18
23	-52	251	19
24	-53	248	20
25	-53	249	21
26	-54	248	22
27	-54	250	23
28	-55	248	24
29	-55	246	25
30	-55	243	26
31	-55	243	27
32	-56	248	28
33	-56	251	29
34	-56	252	30
35	-55	249	31
36	-54	247	32
35	-53	252	33
35	-52	253	34
34	-51	249	35
34	-50	252	36
33	-49	254	37
33	-48	252	38
33	-47	250	39
32	-46	248	40
31	-46	248	41
30	-45	247	42
29	-44	253	43
28	-43	254	44
27	-42	252	45
26	-41	252	46
25	-40	253	47
24	-40	252	48
23	-39	253	49
22	-38	253	50
21	-37	249	51
20	-36	250	52
19	-35	251	53
18	-34	251	54
17	-33	248	55
16	-32	249	56
15	-32	250	57
14	-31	251	58
13	-30	253	59
12	-29	253	60
12	-28	253	61
11	-27	252	62
11	-26	253	63
11	-25	254	64
10	-24	252	65
10	-23	248	66
10	-22	248	67
11	-21	250	68
12	-21	249	69
13	-21	250	70
14	-21	251	71
15	-21	252	72
16	-22	252	73
17	-22	252	74
18	-22	251	75
19	-22	250	76
20	-22	250	77
21	-22	251	78
22	-23	252	79
23	-24	253	80
24	-24	253	81
25	-24	252	82
26	-25	254	83
27	-25	253	84
28	-26	254	85
