x	y	intensity	time_series
8	-45	238	1
9	-45	238	2
10	-45	237	3
11	-45	236	4
12	-45	235	5
13	-46	237	6
14	-46	240	7
15	-47	245	8
16	-47	248	9
17	-47	250	10
18	-47	251	11
19	-48	250	12
20	-48	250	13
21	-48	251	14
22	-49	248	15
23	-49	248	16
24	-50	246	17
25	-50	249	18
26	-50	251	19
27	-50	252	20
28	-50	252	21
29	-51	250	22
30	-51	249	23
31	-52	243	24
32	-53	244	25
33	-53	247	26
34	-53	251	27
35	-54	252	28
36	-54	253	29
37	-54	253	30
38	-54	252	31
39	-54	252	32
40	-54	251	33
41	-54	246	34
42	-54	246	35
43	-55	244	36
44	-55	243	37
45	-54	246	38
46	-53	245	39
45	-52	248	40
45	-51	249	41
44	-50	247	42
44	-49	249	43
43	-48	250	44
42	-47	251	45
41	-47	251	46
40	-46	253	47
39	-46	253	48
38	-45	251	49
37	-45	250	50
36	-45	250	51
35	-44	249	52
34	-43	250	53
33	-42	251	54
32	-42	251	55
31	-41	252	56
30	-41	251	57
29	-40	252	58
28	-39	251	59
27	-39	251	60
26	-38	253	61
25	-37	252	62
24	-37	252	63
23	-36	251	64
22	-36	253	65
21	-36	253	66
20	-35	252	67
19	-34	252	68
18	-33	251	69
17	-33	251	70
16	-32	251	71
15	-31	251	72
14	-30	250	73
13	-29	248	74
12	-28	247	75
11	-28	247	76
10	-27	246	77
9	-26	249	78
8	-25	248	79
7	-24	246	80
6	-23	244	81
5	-22	245	82
5	-21	244	83
5	-20	243	84
5	-19	246	85
5	-18	244	86
5	-17	241	87
5	-16	240	88
5	-15	239	89
6	-14	242	90
7	-13	243	91
8	-13	246	92
9	-13	249	93
10	-13	249	94
11	-13	248	95
12	-13	248	96
13	-13	247	97
14	-14	246	98
15	-14	244	99
16	-14	243	100
