x	y	intensity	time_series
3	-44	248	1
4	-45	250	2
5	-45	250	3
6	-46	249	4
7	-47	248	5
8	-48	249	6
9	-48	250	7
10	-49	251	8
11	-49	251	9
12	-49	250	10
13	-49	250	11
14	-49	250	12
15	-49	250	13
16	-50	249	14
17	-51	251	15
18	-52	252	16
19	-53	251	17
20	-54	249	18
21	-54	250	19
22	-54	251	20
23	-55	245	21
24	-55	247	22
25	-56	247	23
26	-56	249	24
27	-57	236	25
28	-57	236	26
29	-58	230	27
30	-58	229	28
31	-59	210	29
32	-59	205	30
33	-59	201	31
34	-59	192	32
35	-59	182	33
36	-60	148	34
37	-60	145	35
38	-60	148	36
39	-60	151	37
40	-60	153	38
41	-60	155	39
42	-60	155	40
43	-61	151	41
44	-61	152	42
45	-61	154	43
46	-61	154	44
47	-61	152	45
48	-61	152	46
49	-61	153	47
50	-60	154	48
50	-59	165	49
50	-58	190	50
50	-57	218	51
50	-56	236	52
50	-55	242	53
49	-54	244	54
49	-53	247	55
49	-52	250	56
48	-51	251	57
47	-50	252	58
46	-49	251	59
45	-48	251	60
44	-47	250	61
43	-46	249	62
42	-45	247	63
41	-44	248	64
40	-43	249	65
39	-42	248	66
38	-41	248	67
37	-40	247	68
36	-39	250	69
35	-38	249	70
34	-37	249	71
33	-36	249	72
32	-36	250	73
31	-35	251	74
30	-34	252	75
29	-33	251	76
28	-32	251	77
27	-32	249	78
26	-31	250	79
25	-30	251	80
24	-30	250	81
23	-29	251	82
22	-28	251	83
21	-28	251	84
20	-27	252	85
19	-26	253	86
18	-25	252	87
17	-25	253	88
16	-24	253	89
15	-23	253	90
14	-22	252	91
13	-21	250	92
12	-21	250	93
11	-20	251	94
10	-19	252	95
10	-18	251	96
9	-17	251	97
8	-16	253	98
8	-15	252	99
8	-14	249	100
8	-13	247	101
7	-12	247	102
7	-11	251	103
8	-10	253	104
8	-9	253	105
8	-8	251	106
9	-7	250	107
10	-7	249	108
11	-6	248	109
12	-6	248	110
13	-5	251	111
14	-5	251	112
15	-5	252	113
16	-5	252	114
17	-5	251	115
18	-5	251	116
19	-5	252	117
20	-5	252	118
21	-5	253	119
22	-6	253	120
23	-7	251	121
24	-8	250	122
25	-8	250	123
26	-9	249	124
27	-9	249	125
28	-10	249	126
29	-11	250	127
29	-12	251	128
30	-13	252	129
31	-14	253	130
32	-15	253	131
