x	y	intensity	time_series
18	-55	254	1
19	-56	249	2
20	-56	246	3
21	-56	244	4
22	-56	243	5
23	-56	243	6
24	-56	245	7
25	-56	248	8
26	-56	250	9
27	-56	251	10
28	-57	244	11
29	-57	242	12
30	-57	242	13
31	-57	241	14
32	-57	239	15
33	-57	237	16
34	-58	223	17
35	-58	221	18
36	-58	219	19
37	-58	218	20
38	-58	219	21
39	-58	208	22
40	-58	208	23
41	-58	214	24
42	-58	217	25
43	-59	171	26
44	-59	160	27
45	-59	150	28
46	-59	142	29
47	-59	137	30
48	-60	135	31
49	-60	134	32
50	-60	139	33
51	-60	148	34
52	-60	139	35
53	-60	133	36
54	-60	131	37
55	-59	140	38
56	-59	141	39
57	-59	142	40
58	-59	141	41
59	-59	140	42
60	-59	140	43
61	-58	181	44
62	-57	216	45
62	-56	239	46
62	-55	251	47
61	-54	251	48
61	-53	252	49
60	-52	252	50
59	-51	248	51
58	-50	247	52
57	-50	249	53
56	-50	251	54
55	-49	253	55
54	-48	252	56
53	-48	251	57
52	-47	253	58
51	-47	254	59
50	-47	253	60
49	-46	249	61
48	-46	248	62
47	-46	249	63
46	-46	250	64
45	-45	252	65
44	-44	253	66
43	-43	253	67
42	-43	253	68
41	-42	253	69
40	-42	252	70
39	-41	252	71
38	-41	251	72
37	-41	251	73
36	-41	250	74
35	-41	251	75
34	-40	249	76
33	-40	248	77
32	-39	249	78
31	-39	249	79
30	-39	250	80
29	-38	253	81
28	-38	252	82
27	-37	250	83
26	-37	251	84
25	-36	250	85
24	-36	248	86
23	-35	248	87
22	-35	249	88
21	-35	252	89
20	-34	253	90
19	-34	252	91
18	-34	252	92
17	-33	251	93
16	-32	248	94
15	-32	249	95
14	-32	250	96
13	-31	251	97
12	-30	252	98
11	-29	253	99
10	-28	246	100
9	-27	252	101
8	-26	253	102
8	-25	251	103
8	-24	242	104
8	-23	239	105
7	-22	238	106
7	-21	235	107
7	-20	232	108
7	-19	231	109
7	-18	239	110
7	-17	245	111
8	-16	247	112
9	-15	250	113
10	-14	253	114
11	-13	252	115
12	-12	251	116
13	-12	250	117
14	-12	249	118
15	-12	248	119
16	-11	249	120
17	-11	251	121
18	-11	252	122
19	-11	253	123
20	-11	252	124
21	-11	252	125
22	-11	252	126
23	-11	251	127
24	-11	251	128
25	-12	247	129
26	-12	248	130
27	-12	248	131
28	-13	249	132
29	-13	249	133
30	-14	247	134
31	-14	248	135
32	-15	247	136
33	-16	245	137
34	-16	247	138
35	-16	249	139
36	-16	249	140
37	-17	240	141
38	-18	240	142
39	-19	241	143
40	-20	250	144
41	-21	250	145
42	-22	250	146
42	-23	250	147
