x	y	intensity	time_series
1	-52	242	1
1	-51	243	2
1	-50	243	3
1	-49	241	4
2	-48	239	5
2	-47	239	6
3	-46	239	7
3	-45	239	8
3	-44	242	9
3	-43	244	10
4	-42	243	11
5	-42	243	12
6	-42	243	13
7	-42	243	14
8	-42	242	15
9	-41	242	16
10	-41	241	17
11	-42	240	18
12	-41	242	19
13	-41	243	20
14	-41	244	21
15	-42	243	22
16	-42	243	23
17	-42	242	24
18	-42	241	25
19	-42	240	26
20	-43	239	27
21	-43	238	28
22	-43	239	29
23	-44	240	30
24	-44	242	31
25	-44	243	32
26	-44	244	33
27	-44	243	34
28	-44	240	35
29	-45	241	36
30	-45	242	37
31	-45	242	38
32	-45	240	39
33	-45	237	40
34	-45	235	41
35	-46	238	42
36	-46	239	43
37	-46	240	44
38	-47	243	45
39	-47	244	46
40	-47	244	47
41	-47	245	48
42	-47	244	49
43	-47	243	50
44	-47	242	51
45	-46	239	52
45	-45	239	53
45	-44	238	54
45	-43	240	55
44	-42	239	56
44	-41	239	57
44	-40	239	58
43	-39	242	59
43	-38	244	60
43	-37	244	61
42	-36	245	62
42	-35	249	63
41	-34	250	64
40	-33	249	65
39	-32	243	66
38	-31	241	67
38	-30	245	68
37	-29	242	69
36	-29	242	70
35	-28	243	71
34	-27	243	72
33	-26	244	73
32	-25	245	74
31	-24	246	75
30	-23	244	76
29	-22	243	77
28	-21	245	78
27	-20	246	79
26	-19	245	80
25	-18	246	81
24	-18	246	82
23	-17	244	83
22	-16	244	84
22	-15	247	85
22	-14	248	86
21	-13	244	87
21	-12	243	88
21	-11	243	89
22	-10	244	90
23	-9	243	91
24	-8	244	92
25	-8	243	93
26	-8	243	94
27	-8	242	95
28	-8	240	96
29	-8	241	97
30	-8	241	98
31	-8	242	99
32	-8	243	100
33	-9	244	101
34	-9	243	102
