x	y	intensity	time_series
5	-51	250	1
6	-51	250	2
7	-51	250	3
8	-51	250	4
9	-51	250	5
10	-51	250	6
11	-52	249	7
12	-52	248	8
13	-53	247	9
14	-53	247	10
15	-53	250	11
16	-54	250	12
17	-54	250	13
18	-54	250	14
19	-55	253	15
20	-55	252	16
21	-56	250	17
22	-56	249	18
23	-56	249	19
24	-56	249	20
25	-57	246	21
26	-57	249	22
27	-57	251	23
28	-58	238	24
29	-58	238	25
30	-59	238	26
31	-59	240	27
32	-60	214	28
33	-60	211	29
34	-60	210	30
35	-60	200	31
36	-60	192	32
37	-61	148	33
38	-61	146	34
39	-61	135	35
40	-61	133	36
41	-61	137	37
42	-61	145	38
43	-62	143	39
44	-62	144	40
45	-62	146	41
46	-62	145	42
47	-62	146	43
48	-62	145	44
49	-62	144	45
50	-62	143	46
51	-62	144	47
52	-62	146	48
53	-62	143	49
54	-61	153	50
54	-60	165	51
54	-59	185	52
54	-58	225	53
54	-57	234	54
53	-56	240	55
53	-55	244	56
53	-54	246	57
52	-53	247	58
51	-52	250	59
50	-51	251	60
49	-50	251	61
48	-49	250	62
47	-48	251	63
46	-47	251	64
45	-46	248	65
44	-46	249	66
43	-45	244	67
42	-44	236	68
41	-43	241	69
40	-42	248	70
39	-42	249	71
38	-41	248	72
37	-41	248	73
36	-40	249	74
35	-40	249	75
34	-39	249	76
33	-38	248	77
32	-37	249	78
31	-37	250	79
30	-36	250	80
29	-35	250	81
28	-35	248	82
27	-35	249	83
26	-34	252	84
25	-34	252	85
24	-33	249	86
23	-32	249	87
22	-31	247	88
21	-31	248	89
20	-30	250	90
19	-29	249	91
18	-29	250	92
17	-29	250	93
16	-28	250	94
15	-27	250	95
14	-26	249	96
13	-25	250	97
12	-24	251	98
11	-23	248	99
10	-22	246	100
10	-21	248	101
10	-20	249	102
10	-19	247	103
10	-18	244	104
10	-17	242	105
10	-16	244	106
10	-15	245	107
10	-14	244	108
10	-13	246	109
10	-12	248	110
11	-11	250	111
12	-10	251	112
13	-9	254	113
14	-8	252	114
15	-7	248	115
16	-7	248	116
17	-6	250	117
18	-6	250	118
19	-5	251	119
20	-5	251	120
21	-5	252	121
22	-5	252	122
23	-5	252	123
24	-5	252	124
25	-5	251	125
26	-5	250	126
27	-5	250	127
28	-5	250	128
