x	y	intensity	time_series
15	-61	140	1
16	-62	181	2
17	-62	197	3
18	-62	204	4
19	-62	199	5
20	-62	191	6
21	-61	146	7
22	-61	140	8
23	-62	174	9
24	-62	175	10
25	-62	181	11
26	-62	191	12
27	-62	203	13
28	-62	210	14
29	-62	217	15
30	-63	216	16
31	-63	201	17
32	-63	181	18
33	-63	159	19
34	-63	154	20
35	-63	153	21
36	-63	146	22
37	-62	143	23
36	-61	133	24
36	-60	135	25
36	-59	138	26
36	-58	135	27
35	-57	130	28
35	-56	129	29
34	-55	135	30
33	-54	144	31
33	-53	187	32
32	-52	224	33
31	-52	232	34
30	-51	241	35
29	-50	242	36
29	-49	244	37
28	-48	251	38
27	-47	247	39
26	-46	242	40
25	-45	245	41
24	-45	246	42
23	-44	245	43
22	-43	249	44
21	-42	248	45
21	-41	245	46
20	-40	241	47
19	-39	244	48
18	-38	246	49
17	-37	249	50
16	-36	246	51
15	-35	247	52
14	-34	249	53
13	-33	248	54
12	-32	246	55
12	-31	245	56
11	-30	247	57
10	-29	246	58
9	-28	244	59
8	-27	251	60
8	-26	250	61
7	-25	248	62
7	-24	248	63
7	-23	247	64
7	-22	248	65
6	-21	245	66
6	-20	242	67
6	-19	243	68
6	-18	246	69
7	-17	249	70
8	-16	246	71
9	-16	245	72
10	-16	245	73
11	-17	246	74
12	-17	248	75
13	-17	250	76
14	-18	251	77
15	-18	250	78
16	-19	248	79
17	-20	245	80
18	-21	249	81
19	-21	248	82
20	-22	246	83
21	-23	245	84
22	-24	245	85
