x	y	intensity	time_series
5	-55	252	1
6	-55	249	2
7	-55	245	3
8	-55	244	4
9	-55	244	5
10	-54	250	6
11	-54	247	7
12	-54	247	8
13	-54	247	9
14	-54	249	10
15	-54	250	11
16	-54	250	12
17	-54	249	13
18	-54	247	14
19	-55	248	15
20	-55	249	16
21	-55	247	17
22	-55	249	18
23	-55	250	19
24	-55	251	20
25	-55	252	21
26	-56	251	22
27	-56	252	23
28	-56	250	24
29	-56	246	25
30	-56	242	26
31	-56	239	27
32	-56	241	28
33	-56	244	29
34	-56	246	30
35	-55	249	31
36	-54	249	32
36	-53	251	33
36	-52	249	34
35	-51	249	35
35	-50	252	36
35	-49	253	37
34	-48	252	38
33	-47	250	39
32	-47	251	40
31	-46	249	41
30	-45	249	42
29	-45	249	43
28	-44	251	44
27	-43	253	45
26	-43	252	46
25	-42	251	47
24	-41	250	48
23	-40	251	49
22	-40	251	50
21	-39	251	51
20	-38	249	52
19	-38	250	53
18	-37	251	54
17	-36	253	55
16	-35	254	56
15	-34	253	57
15	-33	250	58
14	-32	248	59
14	-31	250	60
14	-30	252	61
13	-29	253	62
13	-28	253	63
13	-27	254	64
13	-26	254	65
13	-25	254	66
14	-24	252	67
14	-23	252	68
14	-22	253	69
15	-21	253	70
15	-20	253	71
16	-19	252	72
17	-19	252	73
18	-19	252	74
19	-19	251	75
20	-19	251	76
21	-20	250	77
22	-20	249	78
23	-20	250	79
24	-20	250	80
25	-21	252	81
26	-22	253	82
26	-23	254	83
27	-24	253	84
28	-25	252	85
