x	y	intensity	time_series
7	-56	238	1
8	-56	238	2
9	-57	224	3
10	-58	183	4
11	-59	117	5
12	-59	113	6
13	-60	106	7
14	-60	105	8
15	-60	109	9
16	-60	117	10
17	-60	110	11
18	-60	103	12
19	-60	99	13
20	-60	99	14
21	-61	114	15
22	-61	113	16
23	-61	112	17
24	-61	116	18
25	-61	130	19
26	-61	148	20
27	-62	190	21
28	-62	193	22
29	-62	196	23
30	-62	197	24
31	-62	196	25
32	-62	193	26
33	-62	188	27
34	-61	147	28
35	-61	147	29
36	-61	148	30
37	-61	152	31
38	-61	155	32
39	-61	152	33
40	-61	143	34
41	-61	140	35
42	-60	141	36
43	-59	137	37
44	-58	152	38
45	-57	193	39
45	-56	219	40
45	-55	237	41
45	-54	243	42
45	-53	243	43
44	-52	244	44
44	-51	246	45
43	-50	247	46
42	-49	251	47
41	-48	252	48
40	-47	250	49
39	-47	250	50
38	-46	245	51
38	-45	243	52
37	-44	248	53
36	-43	247	54
35	-42	246	55
34	-42	246	56
33	-42	245	57
32	-41	244	58
31	-40	252	59
30	-40	252	60
29	-39	253	61
28	-39	253	62
27	-38	252	63
26	-38	251	64
25	-37	251	65
24	-37	251	66
23	-36	251	67
22	-35	251	68
21	-35	251	69
20	-35	250	70
19	-34	251	71
18	-33	252	72
17	-33	253	73
16	-33	253	74
15	-32	251	75
14	-32	251	76
13	-31	250	77
12	-31	250	78
11	-30	253	79
10	-29	253	80
9	-28	251	81
8	-27	248	82
7	-26	248	83
7	-25	251	84
7	-24	252	85
7	-23	253	86
7	-22	253	87
8	-21	252	88
9	-20	251	89
10	-20	251	90
11	-19	250	91
12	-19	250	92
13	-19	250	93
14	-19	251	94
15	-19	251	95
