x	y	intensity	time_series
11	-51	251	1
11	-52	250	2
11	-53	247	3
12	-54	250	4
12	-55	247	5
13	-56	242	6
14	-57	238	7
15	-57	234	8
16	-58	204	9
17	-58	188	10
18	-59	162	11
19	-59	154	12
20	-60	132	13
21	-60	127	14
22	-61	133	15
23	-61	147	16
24	-62	187	17
25	-62	201	18
26	-63	212	19
27	-63	214	20
28	-64	227	21
29	-64	228	22
30	-65	239	23
31	-65	240	24
32	-65	239	25
33	-65	239	26
34	-66	244	27
35	-66	240	28
36	-66	242	29
37	-66	243	30
38	-66	242	31
39	-66	237	32
40	-66	224	33
41	-66	199	34
42	-66	175	35
43	-66	167	36
44	-65	162	37
45	-64	157	38
45	-63	156	39
45	-62	154	40
46	-61	150	41
46	-60	147	42
46	-59	146	43
45	-58	154	44
45	-57	149	45
45	-56	146	46
45	-55	141	47
44	-54	137	48
44	-53	139	49
43	-52	153	50
43	-51	178	51
42	-50	190	52
41	-49	215	53
41	-48	234	54
40	-47	236	55
39	-47	238	56
38	-46	244	57
37	-45	241	58
36	-44	239	59
35	-43	245	60
34	-42	250	61
33	-42	247	62
32	-41	247	63
31	-40	246	64
30	-39	247	65
29	-39	248	66
28	-38	250	67
27	-37	248	68
26	-36	246	69
25	-36	246	70
24	-35	248	71
23	-35	250	72
22	-34	247	73
21	-33	244	74
20	-33	246	75
19	-32	248	76
18	-32	248	77
17	-31	249	78
16	-31	249	79
15	-30	251	80
14	-29	251	81
13	-28	248	82
12	-28	247	83
11	-27	245	84
10	-26	248	85
9	-25	249	86
8	-25	249	87
7	-24	249	88
7	-23	249	89
6	-22	248	90
6	-21	248	91
6	-20	248	92
6	-19	248	93
6	-18	248	94
6	-17	247	95
6	-16	246	96
7	-15	247	97
8	-14	247	98
9	-13	246	99
10	-13	248	100
11	-12	246	101
12	-12	247	102
13	-12	247	103
14	-11	247	104
15	-11	248	105
16	-11	248	106
17	-11	248	107
18	-11	248	108
19	-11	247	109
20	-11	247	110
21	-11	248	111
22	-11	246	112
23	-11	245	113
24	-12	246	114
25	-12	247	115
26	-12	247	116
27	-13	247	117
28	-14	247	118
29	-15	247	119
