x	y	intensity	time_series
7	-58	205	1
8	-58	206	2
9	-58	193	3
10	-58	174	4
11	-59	119	5
12	-59	116	6
13	-59	116	7
14	-59	116	8
15	-59	113	9
16	-59	102	10
17	-59	101	11
18	-59	96	12
19	-60	101	13
20	-60	106	14
21	-60	109	15
22	-60	111	16
23	-61	113	17
24	-61	117	18
25	-61	113	19
26	-62	147	20
27	-62	161	21
28	-62	177	22
29	-62	194	23
30	-63	222	24
31	-63	221	25
32	-63	218	26
33	-63	208	27
34	-63	177	28
35	-63	135	29
36	-62	108	30
37	-61	107	31
37	-60	110	32
37	-59	112	33
37	-58	111	34
37	-57	109	35
37	-56	110	36
37	-55	122	37
37	-54	159	38
36	-53	194	39
36	-52	227	40
35	-51	243	41
35	-50	250	42
34	-49	250	43
33	-48	249	44
32	-47	248	45
31	-46	247	46
30	-45	253	47
29	-44	251	48
28	-43	245	49
27	-42	244	50
26	-41	249	51
25	-41	250	52
24	-40	249	53
23	-39	247	54
22	-38	247	55
21	-38	249	56
20	-37	247	57
19	-37	248	58
18	-36	248	59
17	-35	247	60
16	-35	248	61
15	-34	248	62
14	-33	247	63
13	-32	244	64
12	-31	246	65
11	-31	247	66
10	-30	250	67
10	-29	249	68
10	-28	247	69
9	-27	241	70
9	-26	237	71
9	-25	234	72
9	-24	234	73
10	-23	237	74
11	-23	237	75
12	-23	236	76
13	-23	235	77
14	-23	234	78
15	-23	233	79
