x	y	intensity	time_series
12	-54	248	1
13	-54	249	2
14	-54	249	3
15	-54	248	4
16	-55	249	5
17	-55	248	6
18	-55	246	7
19	-55	245	8
20	-55	242	9
21	-55	248	10
22	-56	243	11
23	-56	240	12
24	-56	239	13
25	-56	245	14
26	-56	243	15
27	-56	238	16
28	-56	237	17
29	-56	249	18
30	-56	244	19
31	-56	242	20
32	-57	239	21
33	-57	237	22
34	-57	235	23
35	-57	234	24
36	-57	234	25
37	-57	234	26
38	-57	235	27
39	-57	235	28
40	-57	233	29
41	-57	230	30
42	-57	229	31
43	-57	229	32
44	-57	231	33
45	-57	231	34
46	-56	238	35
46	-55	246	36
46	-54	245	37
46	-53	247	38
46	-52	248	39
45	-51	248	40
45	-50	246	41
44	-49	248	42
43	-48	247	43
42	-47	246	44
41	-47	246	45
40	-46	249	46
39	-46	250	47
38	-46	249	48
37	-46	248	49
36	-45	248	50
35	-44	248	51
34	-43	251	52
33	-42	252	53
32	-41	251	54
32	-40	249	55
32	-39	249	56
33	-38	249	57
33	-37	249	58
34	-36	250	59
34	-35	249	60
35	-34	247	61
35	-33	246	62
35	-32	247	63
35	-31	249	64
35	-30	248	65
35	-29	248	66
35	-28	250	67
34	-27	253	68
33	-26	252	69
32	-25	250	70
31	-25	250	71
30	-24	251	72
29	-24	249	73
28	-23	251	74
27	-23	251	75
26	-23	251	76
25	-23	251	77
24	-23	250	78
23	-23	249	79
22	-23	249	80
21	-23	249	81
20	-23	249	82
19	-23	249	83
18	-23	248	84
17	-23	246	85
16	-23	245	86
15	-23	245	87
14	-24	250	88
13	-24	251	89
12	-24	250	90
11	-24	249	91
10	-25	247	92
9	-26	247	93
8	-27	246	94
8	-28	244	95
8	-29	247	96
9	-30	247	97
9	-31	248	98
10	-32	251	99
11	-33	252	100
12	-33	251	101
13	-34	251	102
14	-34	251	103
15	-35	251	104
16	-35	251	105
17	-36	251	106
18	-36	251	107
19	-37	249	108
20	-37	248	109
21	-38	249	110
22	-38	249	111
23	-38	249	112
24	-39	250	113
25	-39	251	114
26	-40	252	115
27	-40	251	116
28	-40	249	117
29	-40	247	118
30	-40	247	119
