x	y	intensity	time_series
0	-52	249	1
0	-51	247	2
0	-50	248	3
0	-49	244	4
1	-48	243	5
2	-47	245	6
3	-46	250	7
4	-45	250	8
5	-44	250	9
6	-44	249	10
7	-43	246	11
8	-43	244	12
9	-43	242	13
10	-43	239	14
11	-43	236	15
12	-43	234	16
13	-43	234	17
14	-43	235	18
15	-43	238	19
16	-43	240	20
17	-43	240	21
18	-43	240	22
19	-44	238	23
20	-44	239	24
21	-44	243	25
22	-44	246	26
23	-44	246	27
24	-44	245	28
25	-45	245	29
26	-45	245	30
27	-45	246	31
28	-45	247	32
29	-45	247	33
30	-46	247	34
31	-46	245	35
32	-47	246	36
33	-47	244	37
34	-47	246	38
35	-47	247	39
36	-47	248	40
37	-47	249	41
38	-48	251	42
39	-48	253	43
40	-48	253	44
41	-48	252	45
42	-48	251	46
43	-48	250	47
44	-47	253	48
45	-46	253	49
45	-45	251	50
44	-44	246	51
44	-43	248	52
44	-42	250	53
43	-41	244	54
43	-40	247	55
42	-39	249	56
41	-39	249	57
40	-38	249	58
39	-37	248	59
38	-36	251	60
37	-36	250	61
36	-35	251	62
35	-34	252	63
34	-33	252	64
33	-33	253	65
32	-32	251	66
31	-31	251	67
30	-31	251	68
29	-30	251	69
28	-30	250	70
27	-30	250	71
26	-29	248	72
25	-29	248	73
24	-28	248	74
23	-27	249	75
22	-26	249	76
21	-26	249	77
20	-25	249	78
19	-25	249	79
18	-24	247	80
18	-23	247	81
17	-22	248	82
17	-21	250	83
17	-20	251	84
16	-19	250	85
16	-18	248	86
17	-17	249	87
17	-16	250	88
17	-15	249	89
18	-14	249	90
19	-14	249	91
20	-14	249	92
21	-14	250	93
22	-14	250	94
23	-14	251	95
24	-14	251	96
25	-15	251	97
26	-15	251	98
27	-15	251	99
28	-15	250	100
29	-16	250	101
30	-16	250	102
31	-17	249	103
32	-18	246	104
33	-18	247	105
34	-19	249	106
35	-20	250	107
36	-21	251	108
37	-21	251	109
38	-22	251	110
39	-23	251	111
39	-24	248	112
40	-25	247	113
41	-26	248	114
42	-27	251	115
43	-28	251	116
