x	y	intensity	time_series
7	-57	244	1
8	-57	238	2
9	-57	228	3
10	-57	221	4
11	-58	177	5
12	-58	169	6
13	-59	172	7
14	-59	172	8
15	-59	175	9
16	-60	164	10
17	-60	162	11
18	-61	161	12
19	-61	164	13
20	-61	168	14
21	-62	192	15
22	-62	208	16
23	-62	220	17
24	-62	224	18
25	-62	221	19
26	-61	205	20
27	-62	215	21
28	-62	221	22
29	-62	223	23
30	-63	226	24
31	-63	223	25
32	-63	224	26
33	-62	218	27
34	-62	216	28
35	-62	214	29
36	-62	212	30
37	-62	215	31
38	-62	218	32
39	-62	219	33
40	-62	216	34
41	-62	210	35
42	-62	208	36
43	-62	210	37
44	-62	210	38
45	-62	207	39
46	-62	207	40
47	-61	194	41
48	-61	193	42
49	-61	188	43
50	-61	180	44
51	-61	180	45
52	-61	186	46
53	-60	186	47
54	-60	182	48
55	-60	178	49
56	-60	179	50
57	-59	189	51
58	-59	191	52
59	-58	210	53
60	-57	228	54
60	-56	238	55
59	-55	243	56
59	-54	244	57
59	-53	247	58
58	-52	249	59
58	-51	250	60
57	-50	251	61
56	-50	251	62
55	-49	250	63
54	-48	249	64
53	-47	250	65
52	-46	250	66
51	-45	245	67
50	-44	251	68
49	-44	251	69
48	-44	251	70
47	-43	251	71
46	-42	251	72
45	-42	252	73
44	-42	253	74
43	-41	251	75
42	-41	252	76
41	-40	251	77
41	-39	251	78
40	-38	252	79
39	-38	252	80
38	-38	252	81
37	-38	252	82
36	-38	252	83
35	-38	252	84
34	-37	249	85
33	-37	248	86
32	-36	247	87
31	-36	250	88
30	-36	251	89
29	-35	251	90
28	-35	250	91
27	-35	249	92
26	-34	249	93
25	-34	248	94
24	-34	249	95
23	-34	250	96
22	-33	250	97
21	-32	248	98
20	-32	245	99
19	-31	250	100
18	-30	251	101
17	-29	248	102
16	-28	245	103
15	-27	246	104
15	-26	244	105
15	-25	247	106
15	-24	253	107
15	-23	247	108
16	-22	249	109
17	-21	248	110
18	-20	245	111
19	-20	246	112
20	-20	248	113
21	-19	246	114
22	-19	248	115
23	-18	247	116
24	-17	247	117
25	-17	247	118
26	-17	248	119
27	-17	250	120
28	-17	252	121
29	-18	250	122
30	-18	251	123
31	-17	253	124
32	-17	251	125
33	-18	251	126
34	-18	251	127
35	-18	251	128
