x	y	intensity	time_series
8	-55	238	1
9	-55	240	2
10	-55	242	3
11	-56	239	4
12	-56	239	5
13	-56	236	6
14	-56	234	7
15	-56	231	8
16	-56	228	9
17	-57	222	10
18	-57	222	11
19	-57	225	12
20	-58	215	13
21	-58	209	14
22	-58	199	15
23	-59	147	16
24	-59	138	17
25	-59	134	18
26	-59	134	19
27	-59	123	20
28	-59	118	21
29	-59	123	22
30	-60	129	23
31	-60	120	24
32	-60	114	25
33	-60	112	26
34	-60	113	27
35	-60	111	28
36	-61	113	29
37	-61	109	30
38	-61	108	31
39	-61	125	32
40	-61	139	33
41	-61	146	34
42	-62	191	35
43	-62	193	36
44	-62	199	37
45	-62	190	38
46	-62	170	39
47	-62	149	40
48	-63	147	41
49	-63	145	42
50	-62	141	43
50	-61	141	44
50	-60	148	45
49	-59	142	46
49	-58	137	47
49	-57	136	48
49	-56	142	49
48	-55	155	50
48	-54	158	51
47	-53	163	52
46	-52	197	53
45	-52	212	54
44	-51	239	55
43	-51	236	56
42	-50	246	57
41	-49	247	58
40	-49	246	59
39	-48	246	60
38	-47	247	61
37	-47	247	62
36	-46	247	63
35	-46	246	64
34	-46	245	65
33	-45	246	66
32	-44	244	67
31	-44	242	68
30	-43	237	69
29	-43	235	70
28	-42	234	71
27	-42	232	72
26	-41	230	73
25	-41	235	74
24	-41	237	75
23	-40	241	76
22	-40	242	77
21	-39	247	78
20	-38	243	79
19	-38	244	80
18	-38	245	81
17	-37	247	82
16	-36	247	83
15	-36	247	84
14	-35	246	85
13	-35	245	86
12	-34	245	87
11	-33	245	88
10	-32	242	89
9	-32	242	90
8	-31	240	91
8	-30	236	92
7	-29	230	93
7	-28	238	94
7	-27	244	95
7	-26	245	96
7	-25	243	97
7	-24	243	98
8	-23	242	99
9	-22	243	100
10	-22	244	101
11	-22	245	102
12	-22	245	103
13	-22	244	104
14	-23	245	105
15	-23	243	106
16	-23	241	107
17	-23	244	108
