x	y	intensity	time_series
51	-59	133	1
50	-58	154	2
49	-58	157	3
48	-58	163	4
47	-58	170	5
46	-58	173	6
45	-57	208	7
44	-57	214	8
43	-56	235	9
42	-56	238	10
41	-56	240	11
40	-56	240	12
39	-56	239	13
38	-55	241	14
37	-55	243	15
36	-54	245	16
35	-54	246	17
34	-54	244	18
33	-53	244	19
32	-53	242	20
32	-52	247	21
32	-51	249	22
31	-50	248	23
30	-49	242	24
30	-48	243	25
29	-47	244	26
28	-46	249	27
27	-46	250	28
26	-45	247	29
25	-45	247	30
24	-44	249	31
23	-44	249	32
22	-43	246	33
21	-43	247	34
20	-42	248	35
19	-42	250	36
18	-41	251	37
17	-41	250	38
16	-40	249	39
15	-40	249	40
14	-39	248	41
13	-39	250	42
12	-38	251	43
11	-37	251	44
10	-37	250	45
9	-36	249	46
8	-35	249	47
7	-34	248	48
6	-33	247	49
5	-32	247	50
5	-31	248	51
5	-30	249	52
5	-29	251	53
5	-28	252	54
5	-27	249	55
5	-26	249	56
5	-25	249	57
5	-24	249	58
6	-23	248	59
7	-22	250	60
8	-21	250	61
9	-20	250	62
10	-20	250	63
11	-20	249	64
12	-19	250	65
13	-19	250	66
14	-19	250	67
15	-19	250	68
16	-19	249	69
17	-19	249	70
18	-19	249	71
19	-20	247	72
20	-20	247	73
21	-20	247	74
22	-21	247	75
23	-22	247	76
24	-22	247	77
25	-23	249	78
26	-24	247	79
27	-25	247	80
28	-26	249	81
29	-26	249	82
30	-27	251	83
31	-28	249	84
