x	y	intensity	time_series
23	-52	239	1
24	-52	238	2
25	-52	238	3
26	-52	238	4
27	-51	238	5
28	-51	238	6
29	-51	239	7
30	-51	243	8
31	-51	249	9
32	-52	246	10
33	-52	247	11
34	-52	247	12
35	-52	248	13
36	-52	249	14
37	-52	249	15
38	-52	249	16
39	-52	248	17
40	-52	247	18
41	-52	246	19
42	-52	245	20
43	-52	245	21
44	-51	249	22
45	-50	250	23
46	-49	248	24
46	-48	247	25
45	-47	247	26
45	-46	249	27
44	-45	248	28
43	-44	243	29
42	-43	243	30
41	-43	244	31
40	-43	247	32
39	-43	248	33
38	-42	248	34
37	-42	246	35
36	-42	243	36
35	-41	247	37
34	-41	246	38
33	-41	246	39
32	-40	242	40
31	-40	241	41
30	-40	241	42
29	-40	241	43
28	-40	242	44
27	-39	246	45
26	-38	248	46
25	-38	249	47
24	-38	248	48
23	-38	248	49
22	-37	246	50
21	-37	246	51
20	-37	248	52
19	-36	250	53
18	-36	250	54
17	-36	249	55
16	-36	245	56
15	-36	247	57
14	-36	248	58
13	-36	247	59
12	-36	245	60
11	-36	244	61
10	-35	245	62
9	-35	245	63
8	-35	243	64
7	-34	240	65
6	-33	242	66
5	-32	247	67
5	-31	249	68
5	-30	247	69
5	-29	244	70
6	-28	243	71
7	-27	240	72
8	-26	239	73
9	-26	241	74
10	-25	240	75
11	-25	239	76
12	-25	240	77
13	-24	240	78
14	-24	241	79
15	-23	240	80
16	-23	239	81
17	-23	238	82
18	-23	240	83
19	-23	242	84
20	-22	242	85
21	-22	240	86
22	-22	241	87
23	-22	243	88
24	-22	244	89
25	-22	244	90
26	-22	241	91
27	-22	241	92
28	-22	240	93
29	-22	239	94
30	-22	238	95
31	-22	238	96
32	-23	240	97
33	-23	239	98
34	-23	239	99
35	-24	243	100
36	-25	245	101
37	-25	245	102
38	-26	248	103
