x	y	intensity	time_series
5	-50	247	1
6	-50	250	2
7	-50	250	3
8	-50	248	4
9	-50	246	5
10	-51	242	6
11	-51	240	7
12	-51	240	8
13	-51	242	9
14	-51	243	10
15	-51	244	11
16	-52	243	12
17	-52	246	13
18	-52	248	14
19	-52	248	15
20	-53	247	16
21	-53	247	17
22	-53	247	18
23	-53	248	19
24	-53	246	20
25	-52	244	21
26	-52	246	22
27	-52	247	23
28	-51	246	24
29	-50	250	25
29	-49	249	26
29	-48	249	27
28	-47	249	28
28	-46	249	29
28	-45	249	30
27	-44	249	31
27	-43	248	32
27	-42	248	33
26	-41	246	34
25	-40	247	35
25	-39	250	36
24	-38	250	37
23	-37	245	38
22	-36	243	39
21	-35	244	40
21	-34	246	41
20	-33	247	42
19	-32	248	43
18	-31	250	44
17	-30	251	45
16	-29	250	46
15	-28	249	47
14	-27	247	48
13	-26	248	49
13	-25	248	50
12	-24	249	51
12	-23	250	52
11	-22	250	53
10	-21	247	54
10	-20	246	55
9	-19	247	56
8	-18	247	57
7	-17	248	58
7	-16	247	59
6	-15	248	60
6	-14	247	61
6	-13	246	62
6	-12	244	63
6	-11	244	64
6	-10	245	65
6	-9	245	66
7	-8	245	67
8	-7	246	68
9	-7	247	69
10	-6	247	70
11	-6	247	71
12	-6	247	72
13	-6	247	73
14	-6	246	74
