x	y	intensity	time_series
5	-61	182	1
6	-62	194	2
7	-62	194	3
8	-62	199	4
9	-62	201	5
10	-62	203	6
11	-62	205	7
12	-62	208	8
13	-62	207	9
14	-62	205	10
15	-62	206	11
16	-62	205	12
17	-63	217	13
18	-63	219	14
19	-63	222	15
20	-63	225	16
21	-64	229	17
22	-64	228	18
23	-64	228	19
24	-64	228	20
25	-64	227	21
26	-64	225	22
27	-64	225	23
28	-64	225	24
29	-64	225	25
30	-64	226	26
31	-64	227	27
32	-64	227	28
33	-64	230	29
34	-64	229	30
35	-64	223	31
36	-64	216	32
37	-64	194	33
38	-64	176	34
39	-64	162	35
40	-64	146	36
41	-64	143	37
42	-64	146	38
43	-63	135	39
43	-62	129	40
43	-61	134	41
42	-60	126	42
42	-59	120	43
42	-58	118	44
41	-57	119	45
41	-56	131	46
40	-55	133	47
39	-54	149	48
38	-53	162	49
37	-52	168	50
36	-52	170	51
35	-51	216	52
34	-51	224	53
33	-50	246	54
32	-49	247	55
31	-48	249	56
30	-47	252	57
29	-47	252	58
28	-47	252	59
27	-46	249	60
26	-46	248	61
25	-46	246	62
24	-46	244	63
23	-46	243	64
22	-45	243	65
21	-45	245	66
20	-45	244	67
19	-44	245	68
18	-44	244	69
17	-44	242	70
16	-43	244	71
15	-43	243	72
14	-42	243	73
13	-41	243	74
12	-41	242	75
11	-41	239	76
10	-41	237	77
9	-40	237	78
8	-40	236	79
7	-39	242	80
6	-38	237	81
5	-37	232	82
5	-36	236	83
4	-35	240	84
4	-34	247	85
4	-33	249	86
4	-32	249	87
4	-31	248	88
4	-30	251	89
5	-29	248	90
6	-28	249	91
7	-28	250	92
8	-27	249	93
9	-27	245	94
10	-26	243	95
11	-26	241	96
12	-26	239	97
13	-26	241	98
14	-26	243	99
15	-26	245	100
16	-26	248	101
17	-26	250	102
18	-26	250	103
19	-26	249	104
20	-26	247	105
21	-27	246	106
22	-27	244	107
23	-27	245	108
24	-27	247	109
25	-27	249	110
26	-27	251	111
27	-28	251	112
28	-29	250	113
29	-29	250	114
30	-30	249	115
31	-31	251	116
32	-32	252	117
33	-33	251	118
33	-34	251	119
33	-35	250	120
33	-36	250	121
33	-37	250	122
33	-38	251	123
33	-39	251	124
33	-40	251	125
32	-41	249	126
32	-42	248	127
32	-43	248	128
31	-44	249	129
31	-45	251	130
31	-46	252	131
