x	y	intensity	time_series
6	-59	132	1
7	-59	135	2
8	-59	138	3
9	-60	115	4
10	-60	113	5
11	-60	121	6
12	-60	126	7
13	-60	124	8
14	-60	125	9
15	-60	122	10
16	-60	118	11
17	-60	115	12
18	-60	113	13
19	-61	113	14
20	-61	115	15
21	-61	116	16
22	-61	117	17
23	-61	119	18
24	-62	118	19
25	-62	116	20
26	-62	115	21
27	-62	119	22
28	-62	116	23
29	-62	117	24
30	-63	167	25
31	-64	233	26
32	-65	229	27
33	-65	230	28
34	-65	232	29
35	-65	232	30
36	-65	230	31
37	-65	236	32
38	-65	238	33
39	-65	238	34
40	-65	236	35
41	-65	234	36
42	-65	234	37
43	-65	235	38
44	-65	236	39
45	-65	235	40
46	-65	232	41
47	-65	230	42
48	-65	230	43
49	-65	229	44
50	-65	222	45
51	-65	202	46
52	-65	187	47
53	-64	190	48
54	-64	173	49
55	-64	157	50
56	-63	151	51
57	-62	146	52
57	-61	146	53
57	-60	150	54
57	-59	156	55
56	-58	157	56
56	-57	153	57
56	-56	150	58
55	-55	146	59
55	-54	154	60
54	-53	162	61
53	-52	190	62
52	-51	221	63
51	-51	218	64
50	-50	235	65
49	-49	244	66
48	-49	247	67
47	-48	248	68
46	-47	248	69
45	-47	247	70
44	-47	247	71
43	-46	246	72
42	-46	246	73
41	-45	248	74
40	-45	250	75
39	-44	250	76
38	-44	250	77
37	-44	250	78
36	-43	249	79
35	-43	251	80
34	-42	248	81
33	-42	249	82
32	-42	250	83
31	-42	250	84
30	-42	249	85
29	-41	249	86
28	-41	248	87
27	-41	248	88
26	-41	247	89
25	-40	251	90
24	-40	253	91
23	-40	253	92
22	-39	254	93
21	-39	252	94
20	-38	251	95
19	-38	251	96
18	-38	252	97
17	-38	251	98
16	-38	249	99
15	-38	247	100
14	-37	250	101
13	-37	251	102
12	-37	250	103
11	-37	251	104
10	-37	251	105
9	-36	251	106
8	-35	252	107
7	-34	251	108
6	-33	250	109
6	-32	249	110
6	-31	249	111
7	-30	251	112
8	-29	251	113
9	-28	250	114
10	-28	249	115
11	-27	249	116
12	-27	250	117
13	-27	251	118
14	-27	252	119
15	-27	251	120
16	-26	251	121
17	-25	251	122
18	-25	251	123
19	-25	250	124
20	-25	248	125
21	-25	246	126
22	-25	245	127
23	-25	246	128
24	-24	246	129
25	-24	249	130
26	-24	250	131
27	-24	251	132
28	-24	252	133
29	-24	251	134
30	-24	251	135
31	-24	249	136
32	-24	247	137
33	-24	246	138
34	-24	246	139
35	-24	246	140
36	-24	248	141
37	-25	248	142
38	-25	250	143
39	-25	251	144
40	-26	248	145
41	-27	252	146
42	-27	252	147
43	-27	251	148
44	-28	251	149
45	-28	251	150
46	-29	250	151
47	-30	251	152
48	-30	251	153
49	-31	250	154
50	-32	251	155
50	-33	252	156
51	-34	252	157
52	-35	249	158
52	-36	245	159
53	-37	247	160
53	-38	249	161
54	-39	252	162
55	-40	253	163
56	-41	253	164
57	-42	252	165
58	-43	251	166
59	-44	250	167
