x	y	intensity	time_series
16	-59	132	1
17	-59	134	2
18	-59	133	3
19	-59	129	4
20	-59	127	5
21	-59	126	6
22	-60	130	7
23	-61	139	8
24	-62	142	9
25	-63	150	10
26	-63	176	11
27	-63	215	12
28	-63	234	13
29	-64	236	14
30	-64	239	15
31	-64	241	16
32	-64	237	17
33	-64	232	18
34	-64	231	19
35	-65	233	20
36	-65	226	21
37	-65	225	22
38	-65	223	23
39	-65	221	24
40	-65	217	25
41	-65	218	26
42	-65	221	27
43	-66	227	28
44	-66	231	29
45	-66	233	30
46	-66	227	31
47	-66	226	32
48	-66	228	33
49	-66	228	34
50	-66	225	35
51	-66	220	36
52	-66	213	37
53	-66	206	38
54	-66	201	39
55	-66	197	40
56	-66	187	41
57	-66	178	42
58	-65	180	43
59	-65	172	44
60	-65	170	45
61	-65	171	46
62	-65	172	47
63	-65	173	48
64	-64	166	49
64	-63	155	50
65	-62	152	51
65	-61	151	52
64	-60	146	53
64	-59	147	54
63	-58	149	55
62	-57	148	56
61	-56	151	57
60	-55	154	58
59	-54	156	59
58	-53	160	60
57	-52	169	61
56	-52	170	62
55	-51	188	63
54	-50	228	64
53	-49	241	65
52	-49	241	66
51	-49	243	67
50	-48	247	68
49	-48	246	69
48	-47	245	70
47	-47	244	71
46	-47	243	72
45	-46	244	73
44	-46	245	74
43	-46	246	75
42	-45	250	76
41	-45	249	77
40	-44	250	78
39	-44	250	79
38	-44	248	80
37	-43	249	81
36	-43	248	82
35	-42	248	83
34	-42	248	84
33	-42	248	85
32	-41	249	86
31	-41	249	87
30	-41	249	88
29	-40	247	89
28	-40	246	90
27	-40	245	91
26	-39	243	92
25	-39	242	93
24	-39	243	94
23	-38	246	95
22	-38	248	96
21	-38	248	97
20	-37	247	98
19	-37	247	99
18	-36	248	100
17	-36	248	101
16	-36	248	102
15	-35	249	103
14	-35	250	104
13	-35	249	105
12	-34	247	106
11	-34	246	107
10	-33	245	108
9	-32	250	109
8	-31	252	110
8	-30	251	111
8	-29	247	112
7	-28	245	113
7	-27	248	114
8	-26	250	115
8	-25	251	116
9	-24	248	117
10	-24	247	118
11	-24	246	119
12	-23	247	120
13	-23	250	121
14	-23	251	122
15	-23	249	123
16	-23	246	124
17	-23	246	125
18	-23	247	126
19	-23	247	127
20	-23	247	128
21	-23	248	129
22	-23	249	130
23	-24	250	131
24	-24	250	132
25	-25	251	133
26	-26	251	134
