x	y	intensity	time_series
2	-54	238	1
3	-54	238	2
4	-54	240	3
5	-55	241	4
6	-55	245	5
7	-55	245	6
8	-55	243	7
9	-56	235	8
10	-56	236	9
11	-56	236	10
12	-57	232	11
13	-57	231	12
14	-58	224	13
15	-58	226	14
16	-58	228	15
17	-58	229	16
18	-58	228	17
19	-58	228	18
20	-59	223	19
21	-59	221	20
22	-60	221	21
23	-60	222	22
24	-60	224	23
25	-60	225	24
26	-60	224	25
27	-60	222	26
28	-60	223	27
29	-60	223	28
30	-60	222	29
31	-60	221	30
32	-60	220	31
33	-60	221	32
34	-60	224	33
35	-60	227	34
36	-60	229	35
37	-60	229	36
38	-60	227	37
39	-60	224	38
40	-60	222	39
41	-60	220	40
42	-60	220	41
43	-60	221	42
44	-61	218	43
45	-61	219	44
46	-61	220	45
47	-61	219	46
48	-60	218	47
49	-60	217	48
50	-59	224	49
51	-59	221	50
52	-59	216	51
53	-59	213	52
54	-58	222	53
55	-58	224	54
56	-57	233	55
57	-56	233	56
58	-55	235	57
58	-54	240	58
59	-53	247	59
59	-52	244	60
59	-51	240	61
59	-50	243	62
59	-49	250	63
58	-48	246	64
58	-47	249	65
58	-46	250	66
57	-45	247	67
56	-44	243	68
55	-43	244	69
54	-42	246	70
53	-41	245	71
52	-41	244	72
51	-40	240	73
50	-39	237	74
49	-39	235	75
48	-38	243	76
47	-38	245	77
46	-38	246	78
45	-37	249	79
44	-37	249	80
43	-36	248	81
42	-36	246	82
41	-35	239	83
40	-35	237	84
39	-34	242	85
38	-34	243	86
37	-33	247	87
36	-33	247	88
35	-33	247	89
34	-32	250	90
33	-32	248	91
32	-31	247	92
31	-31	245	93
30	-30	242	94
29	-29	245	95
28	-29	247	96
27	-28	249	97
26	-27	245	98
25	-26	243	99
24	-25	244	100
24	-24	248	101
23	-23	246	102
22	-22	244	103
21	-22	244	104
20	-21	246	105
19	-20	248	106
19	-19	251	107
19	-18	252	108
18	-17	248	109
18	-16	241	110
18	-15	242	111
18	-14	248	112
19	-13	251	113
20	-12	248	114
21	-11	248	115
22	-11	252	116
23	-11	252	117
24	-11	250	118
25	-10	249	119
26	-10	249	120
27	-10	249	121
28	-10	248	122
29	-11	246	123
30	-11	249	124
31	-10	251	125
32	-9	253	126
33	-8	249	127
34	-7	247	128
35	-6	247	129
36	-6	249	130
37	-6	250	131
38	-6	249	132
39	-6	248	133
40	-6	248	134
41	-6	248	135
42	-6	248	136
43	-6	248	137
44	-6	249	138
45	-6	249	139
46	-7	249	140
47	-7	249	141
48	-7	248	142
49	-7	248	143
50	-7	249	144
51	-8	251	145
52	-8	251	146
53	-9	250	147
