x	y	intensity	time_series
5	-49	249	1
5	-48	241	2
5	-47	247	3
5	-46	250	4
6	-45	248	5
7	-45	249	6
8	-45	251	7
9	-45	251	8
10	-45	250	9
11	-45	248	10
12	-45	251	11
13	-45	248	12
14	-45	247	13
15	-45	246	14
16	-45	247	15
17	-45	243	16
18	-45	238	17
19	-45	236	18
20	-45	238	19
21	-45	244	20
22	-45	241	21
23	-45	239	22
24	-45	238	23
25	-45	236	24
26	-45	236	25
27	-45	238	26
28	-46	242	27
29	-46	244	28
30	-46	244	29
31	-46	244	30
32	-46	245	31
33	-47	244	32
34	-47	243	33
35	-47	242	34
36	-47	242	35
37	-47	242	36
38	-47	242	37
39	-47	242	38
40	-46	241	39
41	-46	240	40
42	-45	241	41
43	-44	243	42
42	-43	249	43
42	-42	246	44
42	-41	247	45
41	-40	250	46
41	-39	253	47
40	-38	249	48
39	-37	245	49
38	-37	244	50
37	-36	246	51
36	-35	250	52
35	-35	249	53
34	-34	245	54
33	-33	239	55
32	-33	235	56
31	-32	236	57
30	-32	237	58
29	-31	246	59
28	-31	245	60
27	-31	244	61
26	-30	247	62
25	-29	250	63
24	-29	251	64
23	-28	248	65
22	-27	246	66
21	-27	246	67
20	-26	247	68
19	-25	248	69
18	-25	249	70
17	-24	248	71
17	-23	247	72
16	-22	246	73
15	-21	245	74
15	-20	249	75
15	-19	251	76
15	-18	251	77
15	-17	250	78
16	-16	250	79
16	-15	252	80
17	-14	253	81
18	-13	249	82
19	-13	250	83
20	-13	252	84
21	-13	254	85
22	-13	252	86
23	-13	251	87
24	-13	251	88
25	-13	249	89
26	-13	247	90
27	-13	246	91
28	-13	246	92
29	-13	246	93
30	-13	248	94
31	-13	249	95
32	-13	250	96
33	-13	250	97
34	-14	249	98
35	-15	246	99
36	-15	246	100
37	-15	247	101
38	-15	249	102
