x	y	intensity	time_series
7	-45	249	1
8	-45	251	2
9	-45	252	3
10	-45	253	4
11	-46	253	5
12	-46	253	6
13	-46	252	7
14	-46	251	8
15	-46	249	9
16	-46	246	10
17	-46	248	11
18	-46	249	12
19	-46	249	13
20	-47	246	14
21	-47	244	15
22	-47	243	16
23	-47	244	17
24	-47	247	18
25	-48	243	19
26	-48	244	20
27	-48	244	21
28	-48	244	22
29	-48	244	23
30	-49	245	24
31	-49	247	25
32	-49	248	26
33	-50	248	27
34	-50	247	28
35	-50	246	29
36	-50	248	30
37	-50	249	31
38	-50	250	32
39	-50	249	33
40	-51	246	34
41	-51	243	35
42	-51	241	36
43	-51	239	37
44	-51	241	38
45	-51	243	39
46	-51	244	40
47	-51	244	41
48	-51	243	42
49	-52	246	43
50	-52	247	44
51	-52	249	45
52	-52	250	46
53	-52	250	47
54	-52	249	48
55	-53	241	49
56	-53	241	50
57	-53	239	51
58	-53	242	52
59	-53	246	53
60	-53	249	54
61	-52	249	55
62	-51	240	56
62	-50	244	57
61	-49	246	58
61	-48	245	59
61	-47	244	60
61	-46	247	61
60	-45	248	62
60	-44	247	63
59	-43	246	64
58	-42	248	65
57	-41	252	66
56	-40	247	67
55	-39	243	68
55	-38	246	69
54	-37	251	70
53	-37	251	71
52	-36	253	72
51	-35	252	73
50	-35	252	74
49	-34	250	75
48	-33	247	76
47	-32	247	77
46	-31	248	78
45	-30	250	79
44	-29	253	80
43	-29	252	81
42	-28	251	82
41	-27	251	83
40	-27	251	84
39	-26	252	85
38	-25	251	86
37	-24	248	87
36	-23	246	88
35	-23	244	89
34	-22	251	90
33	-21	251	91
32	-20	248	92
31	-20	248	93
30	-19	253	94
29	-18	254	95
28	-17	252	96
28	-16	249	97
27	-15	246	98
27	-14	251	99
27	-13	249	100
27	-12	246	101
27	-11	245	102
27	-10	250	103
27	-9	247	104
28	-8	245	105
29	-7	248	106
30	-6	251	107
31	-5	250	108
32	-5	248	109
33	-5	246	110
34	-5	247	111
35	-4	251	112
36	-4	252	113
37	-4	252	114
38	-4	252	115
39	-4	252	116
40	-4	251	117
41	-4	248	118
42	-4	247	119
43	-4	247	120
44	-5	247	121
45	-5	248	122
46	-5	244	123
47	-5	238	124
48	-5	240	125
49	-6	244	126
50	-6	243	127
51	-6	242	128
52	-7	248	129
53	-7	247	130
54	-7	247	131
