x	y	intensity	time_series
5	-52	241	1
6	-52	241	2
7	-52	243	3
8	-52	246	4
9	-53	246	5
10	-54	241	6
11	-54	241	7
12	-55	242	8
13	-55	240	9
14	-55	241	10
15	-56	241	11
16	-56	240	12
17	-56	237	13
18	-56	233	14
19	-56	235	15
20	-57	228	16
21	-57	226	17
22	-57	224	18
23	-57	224	19
24	-57	222	20
25	-58	207	21
26	-58	201	22
27	-58	197	23
28	-58	194	24
29	-59	158	25
30	-59	156	26
31	-59	151	27
32	-59	151	28
33	-59	157	29
34	-59	158	30
35	-59	153	31
36	-59	144	32
37	-60	132	33
38	-60	134	34
39	-60	131	35
40	-60	124	36
41	-60	124	37
42	-60	130	38
43	-60	139	39
44	-60	147	40
45	-60	149	41
46	-60	143	42
47	-60	139	43
48	-61	146	44
49	-61	147	45
50	-60	146	46
51	-59	142	47
51	-58	149	48
51	-57	168	49
50	-56	185	50
50	-55	217	51
50	-54	230	52
50	-53	238	53
49	-52	246	54
48	-51	247	55
47	-51	245	56
46	-51	244	57
45	-50	249	58
44	-49	247	59
43	-49	244	60
42	-48	239	61
41	-48	240	62
40	-47	238	63
39	-47	244	64
38	-46	249	65
37	-45	244	66
36	-45	243	67
35	-44	241	68
34	-44	243	69
33	-43	246	70
32	-43	249	71
31	-42	252	72
30	-42	252	73
29	-41	251	74
28	-41	249	75
27	-40	247	76
26	-40	247	77
25	-39	245	78
24	-39	245	79
23	-38	244	80
22	-38	245	81
21	-38	246	82
20	-37	248	83
19	-37	249	84
18	-37	248	85
17	-36	251	86
16	-35	251	87
15	-35	251	88
14	-34	250	89
13	-34	251	90
12	-34	251	91
11	-34	250	92
10	-33	249	93
9	-32	248	94
8	-31	250	95
7	-30	250	96
7	-29	250	97
6	-28	251	98
7	-27	253	99
7	-26	252	100
8	-25	250	101
9	-24	247	102
10	-23	250	103
11	-23	250	104
12	-23	250	105
13	-22	246	106
14	-22	244	107
15	-22	244	108
16	-22	246	109
17	-21	248	110
18	-21	250	111
19	-21	250	112
20	-21	249	113
21	-21	249	114
22	-21	248	115
23	-21	248	116
24	-21	248	117
25	-21	248	118
26	-21	249	119
27	-21	250	120
28	-22	250	121
29	-22	247	122
30	-23	244	123
31	-23	245	124
32	-23	246	125
33	-24	247	126
34	-24	247	127
35	-25	248	128
36	-26	249	129
37	-27	252	130
38	-28	252	131
39	-29	254	132
39	-30	253	133
