x	y	intensity	time_series
3	-47	245	1
4	-47	244	2
5	-47	245	3
6	-47	248	4
7	-47	245	5
8	-47	242	6
9	-48	242	7
10	-48	241	8
11	-48	243	9
12	-48	246	10
13	-48	247	11
14	-48	247	12
15	-49	244	13
16	-49	240	14
17	-49	241	15
18	-49	244	16
19	-49	246	17
20	-50	242	18
21	-50	243	19
22	-51	240	20
23	-51	241	21
24	-51	243	22
25	-51	244	23
26	-51	246	24
27	-51	247	25
28	-51	248	26
29	-51	247	27
30	-51	245	28
31	-51	244	29
32	-51	243	30
33	-51	244	31
34	-51	245	32
35	-51	246	33
36	-51	247	34
37	-51	246	35
38	-50	247	36
39	-49	244	37
39	-48	243	38
38	-47	239	39
38	-46	239	40
37	-45	248	41
37	-44	244	42
36	-43	241	43
35	-42	240	44
34	-41	238	45
33	-40	237	46
32	-40	236	47
31	-39	241	48
30	-38	242	49
29	-37	239	50
28	-36	238	51
27	-36	243	52
26	-35	243	53
25	-34	241	54
24	-34	243	55
23	-33	246	56
22	-32	247	57
21	-31	247	58
20	-30	244	59
19	-29	244	60
18	-28	244	61
18	-27	246	62
17	-26	243	63
16	-25	244	64
15	-24	246	65
15	-23	246	66
14	-22	244	67
14	-21	246	68
13	-20	247	69
13	-19	246	70
13	-18	245	71
13	-17	246	72
13	-16	248	73
13	-15	247	74
13	-14	247	75
14	-13	250	76
14	-12	248	77
15	-11	249	78
16	-11	248	79
17	-10	247	80
18	-10	246	81
19	-9	247	82
20	-9	247	83
21	-9	246	84
22	-9	246	85
