x	y	intensity	time_series
3	-62	192	1
4	-62	186	2
5	-61	139	3
6	-61	133	4
7	-61	131	5
8	-61	138	6
9	-61	149	7
10	-61	159	8
11	-61	165	9
12	-61	165	10
13	-62	198	11
14	-62	200	12
15	-62	198	13
16	-62	201	14
17	-62	193	15
18	-62	195	16
19	-62	198	17
20	-63	208	18
21	-63	212	19
22	-63	210	20
23	-63	211	21
24	-63	215	22
25	-63	214	23
26	-63	216	24
27	-64	234	25
28	-64	234	26
29	-64	232	27
30	-64	231	28
31	-64	231	29
32	-64	234	30
33	-65	238	31
34	-65	240	32
35	-65	243	33
36	-65	241	34
37	-66	209	35
38	-66	195	36
39	-66	184	37
40	-66	170	38
41	-66	158	39
42	-66	151	40
43	-66	152	41
44	-66	162	42
45	-66	160	43
46	-66	158	44
47	-66	161	45
48	-65	155	46
49	-65	154	47
50	-64	151	48
51	-63	152	49
50	-62	144	50
50	-61	137	51
50	-60	140	52
49	-59	150	53
49	-58	139	54
48	-57	134	55
47	-57	141	56
46	-56	141	57
45	-55	135	58
44	-55	136	59
43	-54	138	60
42	-53	138	61
41	-52	139	62
40	-52	137	63
39	-51	158	64
38	-51	165	65
37	-50	214	66
36	-49	240	67
35	-48	246	68
34	-48	245	69
33	-47	246	70
32	-46	252	71
31	-46	252	72
30	-45	252	73
29	-45	249	74
28	-44	249	75
27	-43	249	76
26	-43	250	77
25	-42	250	78
24	-42	250	79
23	-42	250	80
22	-41	250	81
21	-40	250	82
20	-39	252	83
19	-39	253	84
18	-38	254	85
17	-37	252	86
16	-36	252	87
15	-36	254	88
14	-35	252	89
13	-34	248	90
12	-33	250	91
11	-32	251	92
11	-31	252	93
11	-30	252	94
10	-29	252	95
10	-28	252	96
10	-27	250	97
10	-26	248	98
11	-25	248	99
11	-24	252	100
12	-23	250	101
13	-23	250	102
14	-23	251	103
15	-22	250	104
16	-22	251	105
17	-22	249	106
18	-22	247	107
19	-22	246	108
20	-22	247	109
21	-23	254	110
22	-24	254	111
23	-24	251	112
