x	y	intensity	time_series
23	-53	251	1
24	-53	251	2
25	-53	251	3
26	-54	248	4
27	-54	246	5
28	-54	246	6
29	-54	248	7
30	-54	249	8
31	-54	247	9
32	-54	245	10
33	-55	253	11
34	-55	254	12
35	-55	252	13
36	-55	250	14
37	-56	252	15
38	-56	250	16
39	-56	250	17
40	-56	250	18
41	-56	248	19
42	-56	243	20
43	-56	240	21
44	-56	238	22
45	-56	237	23
46	-57	238	24
47	-57	239	25
48	-57	242	26
49	-58	229	27
50	-58	229	28
51	-58	229	29
52	-58	227	30
53	-58	223	31
54	-58	215	32
55	-58	204	33
56	-59	154	34
57	-59	145	35
58	-59	139	36
59	-59	137	37
60	-59	137	38
61	-59	145	39
62	-60	141	40
63	-60	145	41
64	-60	149	42
65	-60	153	43
66	-60	146	44
67	-60	142	45
68	-60	140	46
69	-60	139	47
70	-60	138	48
71	-60	143	49
72	-60	144	50
73	-60	143	51
74	-60	157	52
75	-60	153	53
76	-60	152	54
77	-60	154	55
78	-59	151	56
79	-58	163	57
79	-57	195	58
79	-56	235	59
78	-55	246	60
78	-54	240	61
78	-53	245	62
77	-52	251	63
77	-51	249	64
76	-50	242	65
75	-50	239	66
74	-49	241	67
73	-48	237	68
72	-48	234	69
71	-47	236	70
70	-47	239	71
69	-46	242	72
68	-46	245	73
67	-45	247	74
66	-45	251	75
65	-45	252	76
64	-45	251	77
63	-44	250	78
62	-43	243	79
61	-43	246	80
60	-43	248	81
59	-42	249	82
58	-42	249	83
57	-42	248	84
56	-41	248	85
55	-41	249	86
54	-41	251	87
53	-40	249	88
52	-39	250	89
51	-39	251	90
50	-38	253	91
49	-37	252	92
49	-36	249	93
50	-35	242	94
50	-34	237	95
51	-33	235	96
51	-32	238	97
51	-31	242	98
51	-30	241	99
52	-29	227	100
52	-28	234	101
53	-27	248	102
53	-26	246	103
53	-25	236	104
53	-24	231	105
54	-23	236	106
54	-22	240	107
54	-21	244	108
54	-20	242	109
54	-19	237	110
54	-18	240	111
55	-17	245	112
55	-16	250	113
54	-15	249	114
54	-14	247	115
54	-13	250	116
54	-12	251	117
53	-11	246	118
52	-10	244	119
52	-9	246	120
51	-8	248	121
50	-8	246	122
49	-7	248	123
48	-7	248	124
47	-6	252	125
46	-6	251	126
45	-6	250	127
44	-6	249	128
43	-6	249	129
42	-6	249	130
41	-6	249	131
40	-6	249	132
39	-6	250	133
38	-6	250	134
37	-6	251	135
36	-6	251	136
35	-6	253	137
34	-6	253	138
33	-6	253	139
32	-7	250	140
31	-7	248	141
30	-7	249	142
29	-7	249	143
28	-7	251	144
27	-8	251	145
26	-8	252	146
25	-8	252	147
24	-8	251	148
23	-9	247	149
22	-9	246	150
21	-9	249	151
20	-10	252	152
19	-10	254	153
18	-10	253	154
17	-11	251	155
16	-11	248	156
15	-12	249	157
14	-12	251	158
13	-13	246	159
12	-13	249	160
11	-13	251	161
10	-14	247	162
9	-15	245	163
8	-16	243	164
7	-17	242	165
7	-18	242	166
7	-19	243	167
6	-20	245	168
7	-21	238	169
7	-22	237	170
7	-23	238	171
8	-24	238	172
9	-25	231	173
10	-25	229	174
11	-26	231	175
12	-26	233	176
13	-27	240	177
14	-27	240	178
15	-27	241	179
16	-27	242	180
17	-28	245	181
18	-28	246	182
19	-28	245	183
20	-28	243	184
21	-28	242	185
22	-29	237	186
23	-30	240	187
24	-30	235	188
25	-31	235	189
26	-31	236	190
27	-31	238	191
28	-31	239	192
29	-31	239	193
30	-31	241	194
31	-32	248	195
32	-32	249	196
33	-33	244	197
34	-33	247	198
35	-33	249	199
36	-34	250	200
37	-34	251	201
38	-35	252	202
39	-35	252	203
40	-35	251	204
41	-35	251	205
42	-36	251	206
43	-36	247	207
