x	y	intensity	time_series
8	-44	244	1
8	-45	242	2
9	-46	246	3
9	-47	251	4
10	-48	248	5
11	-49	247	6
12	-49	246	7
13	-50	245	8
14	-50	244	9
15	-51	239	10
16	-52	244	11
17	-52	243	12
18	-53	243	13
19	-53	243	14
20	-54	239	15
21	-55	234	16
22	-55	235	17
23	-56	230	18
24	-56	229	19
25	-56	230	20
26	-56	234	21
27	-56	232	22
28	-56	231	23
29	-57	233	24
30	-57	234	25
31	-57	234	26
32	-57	233	27
33	-57	234	28
34	-57	236	29
35	-57	239	30
36	-57	236	31
37	-57	232	32
38	-57	229	33
39	-57	228	34
40	-57	232	35
41	-56	242	36
42	-55	241	37
43	-55	240	38
44	-54	240	39
45	-53	245	40
45	-52	243	41
45	-51	240	42
45	-50	240	43
45	-49	242	44
45	-48	246	45
45	-47	252	46
44	-46	251	47
44	-45	249	48
44	-44	248	49
44	-43	250	50
43	-42	250	51
43	-41	251	52
42	-40	252	53
41	-39	252	54
40	-38	244	55
39	-37	250	56
38	-36	251	57
38	-35	250	58
37	-34	251	59
36	-33	252	60
35	-32	249	61
34	-32	249	62
33	-31	249	63
32	-30	249	64
31	-29	252	65
30	-29	252	66
29	-28	251	67
28	-27	251	68
27	-26	252	69
26	-25	251	70
25	-24	244	71
24	-23	243	72
23	-22	244	73
22	-21	245	74
21	-20	245	75
20	-19	248	76
20	-18	248	77
19	-17	246	78
20	-16	243	79
20	-15	247	80
20	-14	248	81
21	-13	246	82
22	-12	243	83
22	-11	244	84
22	-10	247	85
23	-9	247	86
24	-9	246	87
25	-9	244	88
26	-8	247	89
27	-8	247	90
28	-8	247	91
29	-8	247	92
30	-8	246	93
31	-8	245	94
32	-8	244	95
33	-8	243	96
34	-8	242	97
35	-8	243	98
36	-8	247	99
37	-8	249	100
38	-9	251	101
39	-9	251	102
40	-9	251	103
41	-10	247	104
42	-10	247	105
43	-11	243	106
