x	y	intensity	time_series
9	-52	248	1
10	-52	247	2
11	-52	247	3
12	-52	247	4
13	-52	247	5
14	-52	249	6
15	-52	252	7
16	-52	252	8
17	-52	252	9
18	-52	252	10
19	-52	252	11
20	-52	252	12
21	-52	251	13
22	-52	249	14
23	-52	248	15
24	-52	248	16
25	-52	248	17
26	-52	249	18
27	-53	251	19
28	-53	251	20
29	-53	251	21
30	-53	251	22
31	-53	251	23
32	-53	252	24
33	-53	253	25
34	-53	253	26
35	-52	251	27
36	-52	250	28
37	-51	252	29
37	-50	254	30
38	-49	253	31
38	-48	251	32
37	-47	250	33
37	-46	248	34
37	-45	248	35
37	-44	251	36
36	-43	251	37
35	-42	248	38
34	-41	245	39
33	-40	245	40
32	-40	248	41
31	-39	253	42
30	-38	251	43
29	-38	249	44
28	-37	245	45
27	-37	244	46
26	-36	241	47
25	-36	240	48
24	-35	244	49
23	-35	246	50
22	-34	249	51
21	-34	249	52
20	-33	247	53
19	-33	244	54
18	-32	241	55
17	-32	241	56
16	-31	239	57
15	-31	238	58
14	-30	239	59
13	-29	242	60
12	-29	243	61
11	-28	247	62
10	-27	249	63
9	-26	250	64
8	-25	250	65
8	-24	249	66
8	-23	249	67
8	-22	249	68
8	-21	252	69
8	-20	254	70
8	-19	253	71
9	-18	252	72
10	-17	254	73
11	-16	252	74
12	-16	253	75
13	-16	253	76
14	-15	251	77
15	-15	249	78
16	-14	249	79
17	-13	243	80
18	-13	240	81
19	-13	238	82
20	-13	238	83
21	-13	240	84
22	-13	241	85
23	-14	246	86
24	-14	245	87
25	-15	249	88
