x	y	intensity	time_series
5	-54	243	1
6	-53	245	2
7	-52	245	3
8	-51	243	4
9	-51	242	5
10	-51	239	6
11	-51	237	7
12	-51	237	8
13	-51	238	9
14	-51	240	10
15	-51	238	11
16	-51	235	12
17	-51	231	13
18	-51	228	14
19	-51	224	15
20	-51	224	16
21	-51	225	17
22	-52	234	18
23	-52	234	19
24	-52	230	20
25	-52	229	21
26	-52	228	22
27	-52	226	23
28	-52	226	24
29	-51	226	25
30	-50	232	26
31	-49	239	27
32	-48	231	28
31	-47	235	29
30	-46	230	30
30	-45	234	31
29	-44	238	32
29	-43	240	33
28	-42	234	34
27	-41	227	35
26	-41	228	36
25	-40	232	37
24	-40	236	38
23	-39	228	39
22	-39	228	40
21	-39	230	41
20	-38	238	42
19	-38	242	43
18	-37	243	44
17	-37	244	45
16	-36	242	46
15	-36	246	47
14	-36	247	48
13	-35	249	49
12	-35	249	50
11	-34	243	51
10	-33	244	52
10	-32	240	53
10	-31	245	54
9	-30	245	55
9	-29	241	56
10	-28	240	57
10	-27	248	58
11	-26	244	59
12	-26	242	60
13	-25	244	61
14	-25	245	62
15	-25	246	63
16	-24	242	64
17	-24	241	65
18	-24	243	66
19	-24	246	67
20	-24	249	68
21	-24	249	69
22	-25	246	70
23	-25	247	71
24	-25	244	72
25	-25	243	73
