x	y	intensity	time_series
0	-42	249	1
0	-43	253	2
0	-44	251	3
0	-45	249	4
0	-46	249	5
0	-47	249	6
0	-48	247	7
1	-49	244	8
2	-50	242	9
3	-51	241	10
4	-52	242	11
5	-52	241	12
6	-52	240	13
7	-53	242	14
8	-53	242	15
9	-53	243	16
10	-53	245	17
11	-53	246	18
12	-54	246	19
13	-54	247	20
14	-54	247	21
15	-54	246	22
16	-54	244	23
17	-54	243	24
18	-55	243	25
19	-55	244	26
20	-55	244	27
21	-56	243	28
22	-56	245	29
23	-56	245	30
24	-56	245	31
25	-57	235	32
26	-57	234	33
27	-57	231	34
28	-57	228	35
29	-57	225	36
30	-57	224	37
31	-58	211	38
32	-58	203	39
33	-58	199	40
34	-58	195	41
35	-58	193	42
36	-58	196	43
37	-58	201	44
38	-58	207	45
39	-58	207	46
40	-58	205	47
41	-58	202	48
42	-57	214	49
43	-56	223	50
43	-55	227	51
42	-54	234	52
42	-53	239	53
42	-52	237	54
42	-51	232	55
41	-50	232	56
41	-49	233	57
40	-48	234	58
39	-48	234	59
38	-47	228	60
38	-46	225	61
37	-45	224	62
36	-44	231	63
35	-44	231	64
34	-43	236	65
33	-42	232	66
32	-41	235	67
31	-40	241	68
30	-40	240	69
29	-39	241	70
28	-38	238	71
27	-37	237	72
26	-37	239	73
25	-36	242	74
24	-35	248	75
23	-35	251	76
22	-34	250	77
21	-33	249	78
20	-32	253	79
19	-32	253	80
18	-31	252	81
17	-30	251	82
16	-29	251	83
15	-28	252	84
14	-27	249	85
13	-27	248	86
12	-26	248	87
11	-25	250	88
10	-24	251	89
9	-23	252	90
9	-22	252	91
9	-21	251	92
9	-20	249	93
9	-19	248	94
9	-18	250	95
9	-17	250	96
9	-16	251	97
10	-15	250	98
11	-14	242	99
12	-14	241	100
13	-13	240	101
14	-13	240	102
15	-13	241	103
16	-13	242	104
17	-13	245	105
18	-13	248	106
19	-13	250	107
20	-13	251	108
21	-13	247	109
22	-14	244	110
23	-14	246	111
24	-14	249	112
25	-14	250	113
26	-15	249	114
27	-15	250	115
28	-16	248	116
29	-16	248	117
30	-17	246	118
