x	y	intensity	time_series
14	-55	236	1
15	-56	229	2
16	-56	214	3
17	-56	204	4
18	-56	205	5
19	-56	206	6
20	-56	205	7
21	-56	205	8
22	-55	210	9
23	-56	206	10
24	-56	212	11
25	-56	205	12
26	-56	198	13
27	-56	200	14
28	-57	202	15
29	-57	204	16
30	-57	206	17
31	-57	206	18
32	-57	206	19
33	-57	208	20
34	-57	209	21
35	-57	218	22
36	-58	210	23
37	-58	211	24
38	-58	216	25
39	-58	218	26
40	-58	216	27
41	-58	213	28
42	-58	213	29
43	-58	215	30
44	-58	217	31
45	-58	217	32
46	-58	216	33
47	-59	213	34
48	-59	212	35
49	-59	208	36
50	-59	205	37
51	-60	207	38
52	-60	206	39
53	-60	204	40
54	-60	202	41
55	-60	203	42
56	-60	202	43
57	-60	203	44
58	-60	206	45
59	-60	210	46
60	-60	211	47
61	-60	209	48
62	-60	208	49
63	-60	209	50
64	-60	210	51
65	-60	217	52
66	-60	217	53
67	-60	216	54
68	-60	216	55
69	-59	218	56
69	-58	225	57
70	-57	233	58
70	-56	238	59
69	-55	238	60
69	-54	238	61
69	-53	239	62
68	-52	237	63
68	-51	237	64
67	-50	238	65
66	-49	238	66
65	-49	237	67
64	-49	238	68
63	-49	241	69
62	-48	243	70
61	-47	242	71
60	-47	238	72
59	-46	237	73
58	-46	237	74
57	-46	237	75
56	-45	239	76
55	-45	237	77
54	-44	241	78
53	-44	242	79
52	-43	243	80
51	-43	243	81
50	-43	243	82
49	-42	246	83
48	-42	246	84
47	-42	244	85
46	-41	240	86
45	-41	238	87
44	-40	240	88
43	-40	241	89
42	-39	244	90
41	-38	246	91
40	-38	246	92
39	-38	244	93
38	-37	241	94
37	-37	240	95
36	-37	239	96
35	-36	245	97
34	-35	248	98
33	-35	246	99
32	-35	247	100
31	-34	245	101
30	-34	246	102
29	-33	239	103
28	-33	239	104
27	-33	239	105
26	-32	239	106
25	-32	241	107
24	-31	241	108
23	-31	237	109
22	-31	239	110
21	-31	241	111
20	-30	244	112
19	-29	246	113
18	-29	247	114
17	-28	248	115
16	-28	249	116
15	-27	247	117
14	-26	243	118
13	-26	243	119
12	-25	242	120
11	-25	242	121
10	-24	245	122
9	-23	249	123
8	-22	247	124
7	-21	242	125
6	-20	236	126
5	-19	233	127
5	-18	238	128
5	-17	243	129
5	-16	245	130
5	-15	243	131
5	-14	242	132
5	-13	244	133
5	-12	247	134
6	-11	249	135
6	-10	250	136
7	-9	247	137
7	-8	244	138
8	-7	241	139
9	-7	240	140
10	-6	240	141
11	-5	243	142
12	-5	247	143
13	-5	250	144
14	-5	249	145
15	-5	246	146
16	-4	241	147
17	-5	242	148
18	-5	244	149
19	-5	246	150
20	-5	247	151
21	-6	247	152
22	-6	246	153
23	-6	245	154
24	-6	244	155
25	-6	243	156
26	-7	243	157
27	-8	244	158
