x	y	intensity	time_series
5	-61	137	1
6	-61	131	2
7	-61	129	3
8	-61	133	4
9	-61	129	5
10	-61	130	6
11	-61	138	7
12	-61	148	8
13	-62	176	9
14	-62	176	10
15	-63	197	11
16	-63	204	12
17	-63	214	13
18	-63	214	14
19	-63	211	15
20	-63	208	16
21	-63	208	17
22	-64	208	18
23	-64	212	19
24	-64	216	20
25	-64	218	21
26	-64	218	22
27	-64	217	23
28	-64	222	24
29	-64	225	25
30	-64	226	26
31	-64	224	27
32	-64	225	28
33	-64	228	29
34	-64	228	30
35	-64	224	31
36	-64	221	32
37	-64	224	33
38	-64	219	34
39	-64	212	35
40	-64	215	36
41	-64	218	37
42	-64	217	38
43	-64	216	39
44	-64	214	40
45	-64	213	41
46	-63	213	42
47	-63	210	43
48	-63	206	44
49	-63	203	45
50	-63	199	46
51	-63	199	47
52	-62	199	48
53	-61	179	49
54	-60	157	50
54	-59	151	51
54	-58	149	52
54	-57	149	53
53	-56	149	54
53	-55	151	55
52	-54	164	56
52	-53	186	57
52	-52	213	58
51	-51	230	59
50	-51	230	60
49	-50	238	61
48	-50	238	62
47	-49	239	63
46	-49	240	64
45	-49	241	65
44	-48	243	66
43	-47	242	67
42	-47	244	68
41	-46	243	69
40	-46	242	70
39	-46	240	71
38	-45	242	72
37	-44	246	73
36	-44	246	74
35	-44	247	75
34	-43	246	76
33	-42	246	77
32	-42	247	78
31	-41	245	79
30	-40	245	80
29	-40	245	81
28	-40	243	82
27	-39	242	83
26	-38	248	84
25	-37	243	85
24	-37	242	86
23	-37	242	87
22	-36	243	88
21	-35	245	89
21	-34	246	90
20	-33	247	91
20	-32	248	92
20	-31	247	93
20	-30	246	94
19	-29	244	95
20	-28	242	96
21	-27	241	97
22	-27	242	98
23	-27	244	99
24	-27	245	100
25	-27	244	101
26	-27	243	102
27	-27	242	103
