x	y	intensity	time_series
16	-53	245	1
17	-52	244	2
18	-52	243	3
19	-52	246	4
20	-52	245	5
21	-51	237	6
22	-51	236	7
23	-51	236	8
24	-51	238	9
25	-50	242	10
26	-50	245	11
27	-50	247	12
28	-50	246	13
29	-50	245	14
30	-50	246	15
31	-50	246	16
32	-50	243	17
33	-50	239	18
34	-50	238	19
35	-50	240	20
36	-50	242	21
37	-50	243	22
38	-51	245	23
39	-51	241	24
40	-51	239	25
41	-51	240	26
42	-51	243	27
43	-51	247	28
44	-51	248	29
45	-51	246	30
46	-51	242	31
47	-51	241	32
48	-51	242	33
49	-52	239	34
50	-52	240	35
51	-52	241	36
52	-52	242	37
53	-53	242	38
54	-53	243	39
55	-53	245	40
56	-53	248	41
57	-53	247	42
58	-53	245	43
59	-53	243	44
60	-53	241	45
61	-53	238	46
62	-53	237	47
63	-52	237	48
64	-51	240	49
63	-50	239	50
63	-49	241	51
62	-48	243	52
62	-47	245	53
61	-46	249	54
61	-45	247	55
60	-44	241	56
59	-44	246	57
58	-44	247	58
57	-43	242	59
56	-43	242	60
55	-43	243	61
54	-43	243	62
53	-42	242	63
52	-42	242	64
51	-41	241	65
50	-40	243	66
49	-40	242	67
48	-40	243	68
47	-39	249	69
46	-39	250	70
45	-38	248	71
44	-38	245	72
43	-38	244	73
42	-38	246	74
41	-38	248	75
40	-37	250	76
39	-37	250	77
38	-36	249	78
37	-36	245	79
36	-35	244	80
35	-35	246	81
34	-34	248	82
33	-33	246	83
32	-33	245	84
31	-33	245	85
30	-33	246	86
29	-33	247	87
28	-32	249	88
27	-31	247	89
26	-30	246	90
25	-30	245	91
24	-29	242	92
23	-29	242	93
22	-28	244	94
21	-28	244	95
20	-27	246	96
19	-26	247	97
18	-25	246	98
17	-25	245	99
16	-24	245	100
15	-24	244	101
14	-23	247	102
13	-22	249	103
12	-21	248	104
11	-20	248	105
10	-19	251	106
9	-18	246	107
8	-17	246	108
7	-16	247	109
7	-15	248	110
7	-14	246	111
6	-13	247	112
6	-12	250	113
7	-11	250	114
8	-10	249	115
9	-9	253	116
10	-8	250	117
11	-7	248	118
12	-7	249	119
13	-7	250	120
14	-7	250	121
15	-7	251	122
16	-7	252	123
17	-6	251	124
18	-6	251	125
19	-6	251	126
20	-6	251	127
21	-6	250	128
22	-6	249	129
23	-6	249	130
24	-6	249	131
25	-6	250	132
26	-6	251	133
27	-7	253	134
28	-7	253	135
29	-7	249	136
30	-8	250	137
31	-8	249	138
32	-8	249	139
33	-9	249	140
34	-9	247	141
35	-10	246	142
36	-10	245	143
37	-11	244	144
38	-12	246	145
39	-12	244	146
40	-12	244	147
41	-13	248	148
42	-14	247	149
43	-15	245	150
44	-16	245	151
45	-17	248	152
46	-18	251	153
