x	y	intensity	time_series
5	-48	252	1
6	-48	252	2
7	-48	253	3
8	-49	252	4
9	-49	251	5
10	-49	250	6
11	-49	250	7
12	-49	250	8
13	-49	250	9
14	-49	249	10
15	-49	247	11
16	-49	246	12
17	-49	246	13
18	-48	249	14
19	-47	251	15
20	-47	252	16
21	-48	251	17
22	-48	251	18
23	-48	250	19
24	-48	251	20
25	-48	251	21
26	-49	253	22
27	-49	251	23
28	-49	249	24
29	-50	247	25
30	-50	246	26
31	-50	245	27
32	-50	245	28
33	-50	245	29
34	-50	244	30
35	-50	244	31
36	-51	245	32
37	-51	246	33
38	-51	247	34
39	-51	246	35
40	-51	246	36
41	-51	248	37
42	-51	250	38
43	-51	251	39
44	-51	251	40
44	-50	248	41
45	-49	247	42
46	-48	249	43
45	-47	246	44
45	-46	248	45
45	-45	250	46
44	-44	252	47
44	-43	252	48
44	-42	250	49
44	-41	248	50
45	-40	252	51
46	-39	249	52
47	-38	248	53
46	-37	250	54
45	-36	251	55
44	-36	251	56
43	-35	247	57
42	-34	248	58
41	-34	249	59
40	-33	250	60
39	-32	248	61
38	-32	248	62
37	-32	249	63
36	-32	250	64
35	-31	251	65
34	-31	252	66
33	-31	252	67
32	-30	251	68
31	-29	249	69
30	-29	249	70
29	-28	249	71
28	-28	249	72
27	-27	251	73
26	-27	250	74
25	-26	250	75
24	-25	249	76
24	-24	248	77
24	-23	247	78
23	-22	252	79
23	-21	251	80
23	-20	251	81
23	-19	252	82
23	-18	253	83
23	-17	252	84
23	-16	251	85
23	-15	251	86
24	-14	252	87
25	-13	251	88
26	-12	250	89
27	-11	250	90
28	-10	249	91
29	-10	249	92
30	-9	247	93
31	-8	246	94
32	-8	246	95
33	-8	246	96
34	-8	247	97
35	-8	247	98
36	-7	249	99
37	-7	248	100
38	-7	248	101
39	-7	249	102
40	-7	250	103
41	-7	250	104
42	-7	250	105
43	-6	247	106
44	-6	247	107
45	-6	246	108
46	-6	247	109
47	-6	248	110
48	-6	248	111
49	-6	248	112
50	-6	248	113
51	-6	248	114
52	-6	247	115
53	-6	247	116
54	-6	247	117
55	-6	248	118
56	-7	250	119
57	-7	251	120
58	-7	252	121
59	-7	251	122
60	-7	250	123
61	-7	249	124
62	-7	248	125
63	-7	248	126
64	-7	249	127
65	-8	247	128
66	-8	246	129
67	-8	247	130
68	-8	252	131
69	-9	251	132
70	-9	250	133
71	-9	249	134
72	-9	248	135
73	-9	247	136
74	-9	247	137
75	-10	250	138
76	-10	250	139
77	-11	251	140
78	-11	252	141
79	-12	252	142
80	-12	252	143
81	-13	252	144
82	-13	252	145
83	-14	252	146
84	-15	252	147
85	-16	251	148
85	-17	249	149
85	-18	246	150
84	-19	247	151
84	-20	247	152
84	-21	248	153
84	-22	249	154
84	-23	251	155
