x	y	intensity	time_series
0	-48	244	1
0	-49	243	2
1	-50	243	3
1	-51	245	4
2	-52	246	5
2	-53	247	6
2	-54	244	7
3	-55	240	8
4	-56	233	9
5	-56	229	10
6	-56	232	11
7	-56	236	12
8	-56	239	13
9	-56	239	14
10	-56	239	15
11	-56	235	16
12	-56	232	17
13	-56	232	18
14	-56	238	19
15	-56	234	20
16	-56	228	21
17	-56	229	22
18	-56	234	23
19	-56	234	24
20	-56	240	25
21	-56	240	26
22	-56	238	27
23	-56	237	28
24	-57	228	29
25	-57	228	30
26	-57	226	31
27	-57	225	32
28	-57	225	33
29	-57	228	34
30	-57	231	35
31	-57	234	36
32	-57	235	37
33	-57	225	38
34	-57	228	39
35	-57	232	40
36	-57	232	41
37	-57	229	42
38	-57	238	43
39	-57	238	44
40	-57	235	45
41	-57	234	46
42	-57	234	47
43	-57	232	48
44	-57	231	49
45	-57	231	50
46	-57	231	51
47	-57	233	52
48	-57	234	53
49	-56	245	54
50	-56	243	55
51	-56	238	56
52	-56	242	57
53	-55	240	58
54	-54	244	59
55	-53	246	60
54	-52	245	61
54	-51	244	62
54	-50	245	63
54	-49	247	64
53	-48	248	65
52	-47	245	66
51	-46	239	67
50	-45	250	68
49	-45	251	69
48	-45	251	70
47	-44	249	71
46	-43	248	72
45	-42	248	73
44	-42	248	74
43	-42	248	75
42	-41	249	76
41	-40	248	77
40	-40	250	78
39	-39	249	79
38	-39	249	80
37	-39	249	81
36	-38	248	82
35	-37	246	83
34	-37	245	84
33	-36	244	85
32	-36	244	86
31	-36	243	87
30	-35	244	88
29	-35	244	89
28	-34	246	90
27	-34	246	91
26	-34	246	92
25	-33	250	93
24	-33	250	94
23	-32	251	95
22	-32	250	96
21	-32	249	97
20	-31	250	98
19	-31	245	99
18	-30	248	100
17	-30	249	101
16	-29	251	102
15	-29	251	103
14	-29	250	104
13	-28	246	105
12	-28	247	106
11	-27	247	107
10	-26	244	108
9	-25	244	109
8	-24	245	110
7	-23	247	111
6	-22	249	112
6	-21	249	113
6	-20	248	114
6	-19	248	115
6	-18	250	116
7	-17	248	117
8	-16	245	118
9	-15	243	119
10	-14	247	120
11	-14	247	121
12	-13	247	122
13	-13	246	123
14	-12	244	124
15	-12	245	125
16	-11	245	126
17	-11	247	127
18	-11	248	128
19	-12	249	129
20	-12	249	130
21	-12	249	131
22	-12	250	132
23	-12	250	133
24	-12	250	134
25	-13	249	135
26	-13	247	136
27	-13	245	137
28	-13	244	138
29	-14	244	139
30	-14	245	140
31	-15	250	141
32	-16	246	142
