x	y	intensity	time_series
2	-41	249	1
3	-42	250	2
4	-42	249	3
5	-42	248	4
6	-42	248	5
7	-43	240	6
8	-43	240	7
9	-43	241	8
10	-43	248	9
11	-43	249	10
12	-43	248	11
13	-44	249	12
14	-44	249	13
15	-44	248	14
16	-44	247	15
17	-44	245	16
18	-44	244	17
19	-45	244	18
20	-45	245	19
21	-45	246	20
22	-46	251	21
23	-46	252	22
24	-46	252	23
25	-46	252	24
26	-47	251	25
27	-47	251	26
28	-47	252	27
29	-48	252	28
30	-48	251	29
31	-48	248	30
32	-48	248	31
33	-48	249	32
34	-48	249	33
35	-49	247	34
36	-49	246	35
37	-50	243	36
38	-50	242	37
39	-50	241	38
40	-50	242	39
41	-50	245	40
42	-50	245	41
43	-49	246	42
44	-49	247	43
45	-49	248	44
46	-49	249	45
47	-48	252	46
48	-47	251	47
48	-46	250	48
49	-45	250	49
48	-44	249	50
48	-43	248	51
48	-42	243	52
48	-41	240	53
47	-40	244	54
46	-39	251	55
46	-38	253	56
45	-37	250	57
44	-36	245	58
43	-35	245	59
42	-34	245	60
41	-34	244	61
40	-33	245	62
39	-33	248	63
38	-33	250	64
37	-32	241	65
36	-31	245	66
35	-30	252	67
34	-29	254	68
33	-29	254	69
32	-28	254	70
31	-28	254	71
30	-27	247	72
29	-27	247	73
28	-26	248	74
27	-25	249	75
26	-24	250	76
25	-24	249	77
24	-23	246	78
23	-23	246	79
22	-23	247	80
21	-22	248	81
20	-21	250	82
19	-20	252	83
18	-20	249	84
17	-19	247	85
16	-18	246	86
15	-18	247	87
14	-17	248	88
13	-16	249	89
13	-15	249	90
12	-14	249	91
12	-13	248	92
12	-12	246	93
11	-11	246	94
