x	y	intensity	time_series
5	-50	242	1
6	-51	244	2
7	-52	250	3
8	-53	250	4
9	-53	248	5
10	-53	246	6
11	-53	244	7
12	-54	242	8
13	-54	244	9
14	-55	244	10
15	-55	245	11
16	-55	245	12
17	-56	238	13
18	-56	237	14
19	-57	231	15
20	-57	233	16
21	-58	230	17
22	-58	229	18
23	-58	225	19
24	-58	218	20
25	-59	206	21
26	-59	203	22
27	-59	196	23
28	-59	186	24
29	-59	168	25
30	-60	127	26
31	-60	127	27
32	-60	125	28
33	-60	122	29
34	-60	127	30
35	-60	123	31
36	-60	126	32
37	-60	131	33
38	-60	120	34
39	-60	121	35
40	-60	128	36
41	-60	136	37
42	-60	142	38
43	-60	145	39
44	-60	146	40
45	-60	143	41
46	-60	140	42
47	-60	139	43
48	-60	141	44
49	-60	143	45
50	-60	144	46
51	-60	145	47
52	-60	146	48
53	-60	147	49
54	-60	146	50
55	-60	145	51
56	-60	145	52
57	-60	150	53
58	-60	151	54
59	-60	151	55
60	-60	151	56
61	-60	153	57
62	-59	190	58
63	-59	195	59
64	-59	197	60
65	-59	199	61
66	-59	200	62
67	-59	200	63
68	-58	230	64
68	-57	238	65
69	-56	241	66
69	-55	242	67
68	-54	237	68
68	-53	237	69
68	-52	244	70
67	-51	247	71
66	-50	248	72
65	-50	248	73
64	-49	250	74
63	-48	249	75
62	-47	248	76
61	-46	247	77
60	-46	249	78
59	-45	250	79
58	-45	251	80
57	-44	253	81
56	-43	252	82
55	-43	251	83
54	-43	250	84
53	-42	247	85
52	-41	247	86
51	-40	251	87
50	-40	251	88
49	-39	250	89
48	-38	250	90
47	-37	251	91
46	-37	252	92
45	-36	253	93
44	-35	251	94
43	-35	251	95
42	-34	250	96
41	-34	249	97
40	-33	249	98
39	-33	249	99
38	-33	251	100
37	-32	252	101
36	-32	252	102
35	-32	252	103
34	-32	252	104
33	-31	250	105
32	-31	249	106
31	-30	248	107
30	-30	248	108
29	-30	250	109
28	-29	250	110
27	-29	250	111
26	-29	250	112
25	-28	246	113
24	-28	246	114
23	-27	247	115
22	-26	251	116
21	-26	251	117
20	-25	251	118
19	-24	249	119
18	-23	249	120
18	-22	251	121
18	-21	252	122
18	-20	251	123
18	-19	249	124
18	-18	250	125
18	-17	248	126
19	-16	249	127
19	-15	248	128
20	-14	249	129
21	-14	250	130
22	-13	250	131
23	-12	248	132
24	-11	249	133
25	-10	250	134
26	-9	252	135
27	-8	253	136
28	-8	252	137
29	-7	250	138
30	-7	249	139
31	-7	248	140
32	-6	244	141
33	-6	243	142
34	-5	248	143
35	-5	250	144
36	-5	250	145
37	-4	248	146
38	-4	248	147
39	-4	247	148
40	-4	247	149
41	-4	246	150
42	-4	247	151
43	-4	248	152
44	-5	246	153
45	-5	247	154
46	-5	246	155
