x	y	intensity	time_series
2	-53	243	1
3	-53	242	2
4	-53	244	3
5	-53	246	4
6	-53	248	5
7	-53	249	6
8	-53	249	7
9	-53	247	8
10	-53	247	9
11	-53	248	10
12	-53	248	11
13	-54	247	12
14	-54	245	13
15	-54	243	14
16	-54	242	15
17	-54	241	16
18	-54	241	17
19	-54	240	18
20	-54	239	19
21	-55	242	20
22	-55	242	21
23	-55	242	22
24	-55	241	23
25	-55	240	24
26	-55	239	25
27	-55	237	26
28	-55	236	27
29	-55	237	28
30	-55	241	29
31	-55	242	30
32	-55	244	31
33	-55	245	32
34	-55	245	33
35	-55	244	34
36	-55	243	35
37	-55	243	36
38	-54	245	37
39	-54	244	38
40	-54	244	39
41	-54	246	40
42	-54	248	41
43	-54	248	42
44	-54	247	43
45	-54	244	44
46	-54	241	45
47	-53	239	46
48	-53	238	47
49	-53	238	48
50	-53	237	49
51	-53	239	50
52	-53	242	51
53	-53	246	52
54	-53	249	53
55	-53	250	54
56	-53	248	55
57	-53	245	56
58	-52	245	57
59	-51	249	58
59	-50	249	59
60	-49	247	60
60	-48	248	61
60	-47	248	62
59	-46	249	63
59	-45	244	64
58	-44	242	65
57	-44	242	66
56	-44	242	67
55	-43	244	68
54	-43	244	69
53	-43	245	70
52	-43	246	71
51	-42	247	72
50	-42	248	73
49	-42	250	74
48	-41	249	75
47	-41	248	76
46	-40	247	77
45	-39	247	78
44	-39	247	79
43	-38	247	80
42	-37	247	81
41	-37	248	82
40	-37	250	83
39	-36	246	84
38	-36	246	85
37	-36	246	86
36	-35	248	87
35	-35	249	88
34	-35	249	89
33	-35	249	90
32	-34	248	91
32	-33	245	92
31	-33	246	93
30	-33	247	94
29	-33	249	95
28	-32	250	96
27	-32	249	97
26	-31	246	98
25	-31	246	99
24	-31	246	100
23	-30	246	101
22	-29	245	102
21	-29	245	103
20	-28	242	104
19	-28	241	105
18	-27	246	106
17	-27	246	107
16	-26	248	108
15	-25	250	109
15	-24	249	110
14	-23	247	111
14	-22	245	112
14	-21	245	113
14	-20	249	114
14	-19	252	115
15	-18	253	116
16	-17	248	117
17	-16	247	118
18	-16	248	119
19	-16	250	120
20	-16	250	121
21	-16	250	122
22	-16	249	123
23	-16	249	124
24	-17	247	125
25	-17	246	126
26	-17	247	127
27	-17	247	128
28	-18	248	129
29	-18	248	130
30	-19	252	131
31	-19	252	132
32	-20	248	133
33	-21	245	134
34	-22	248	135
35	-23	246	136
36	-24	246	137
37	-25	245	138
37	-26	248	139
37	-27	248	140
36	-28	249	141
35	-29	250	142
35	-30	249	143
34	-31	249	144
33	-32	244	145
