x	y	intensity	time_series
5	-58	196	1
6	-58	180	2
7	-58	171	3
8	-58	169	4
9	-58	167	5
10	-59	135	6
11	-59	130	7
12	-59	127	8
13	-59	127	9
14	-59	125	10
15	-59	123	11
16	-59	121	12
17	-59	121	13
18	-59	123	14
19	-60	115	15
20	-60	111	16
21	-60	109	17
22	-60	112	18
23	-60	113	19
24	-60	112	20
25	-60	111	21
26	-61	119	22
27	-61	118	23
28	-61	112	24
29	-61	110	25
30	-62	124	26
31	-62	131	27
32	-62	152	28
33	-62	173	29
34	-62	187	30
35	-62	187	31
36	-62	191	32
37	-62	195	33
38	-63	212	34
39	-63	207	35
40	-63	211	36
41	-63	208	37
42	-63	202	38
43	-63	198	39
44	-63	197	40
45	-63	197	41
46	-63	198	42
47	-64	217	43
48	-64	216	44
49	-65	222	45
50	-65	220	46
51	-65	222	47
52	-65	225	48
53	-64	208	49
54	-64	211	50
55	-64	213	51
56	-64	211	52
57	-63	196	53
58	-63	202	54
59	-63	207	55
60	-63	208	56
61	-63	207	57
62	-63	208	58
63	-63	198	59
64	-63	192	60
65	-63	195	61
66	-63	204	62
67	-63	206	63
68	-62	198	64
69	-62	192	65
70	-62	188	66
71	-61	174	67
72	-61	169	68
73	-61	164	69
74	-61	153	70
75	-60	151	71
76	-59	148	72
77	-58	144	73
77	-57	172	74
77	-56	202	75
77	-55	227	76
77	-54	244	77
77	-53	244	78
76	-52	244	79
76	-51	245	80
75	-50	242	81
74	-50	237	82
73	-49	243	83
72	-48	248	84
71	-47	250	85
70	-46	252	86
69	-45	248	87
68	-45	248	88
67	-44	248	89
66	-44	250	90
65	-44	252	91
64	-43	252	92
63	-42	251	93
62	-42	249	94
61	-42	247	95
60	-41	248	96
59	-41	248	97
58	-40	249	98
57	-40	247	99
56	-40	247	100
55	-40	247	101
54	-39	248	102
53	-39	248	103
52	-39	248	104
51	-39	249	105
50	-39	248	106
49	-38	245	107
48	-37	248	108
47	-37	249	109
46	-37	250	110
45	-36	248	111
44	-36	245	112
43	-35	245	113
42	-35	244	114
41	-35	245	115
40	-34	250	116
39	-34	249	117
38	-33	250	118
37	-33	247	119
36	-33	245	120
35	-33	248	121
34	-33	252	122
33	-32	248	123
32	-32	247	124
31	-32	248	125
30	-32	253	126
29	-32	251	127
28	-31	251	128
27	-31	249	129
26	-31	249	130
25	-30	246	131
24	-30	249	132
23	-30	249	133
22	-30	248	134
21	-30	247	135
20	-29	249	136
19	-29	250	137
18	-28	250	138
17	-28	249	139
16	-27	249	140
15	-27	250	141
14	-26	249	142
14	-25	249	143
13	-24	250	144
13	-23	248	145
12	-22	249	146
12	-21	249	147
12	-20	248	148
12	-19	246	149
12	-18	245	150
12	-17	245	151
13	-16	247	152
13	-15	247	153
13	-14	244	154
14	-13	243	155
15	-12	247	156
16	-11	249	157
17	-11	249	158
18	-10	247	159
19	-10	248	160
20	-10	250	161
21	-10	249	162
22	-10	248	163
23	-10	247	164
24	-10	247	165
25	-10	248	166
26	-10	248	167
27	-10	247	168
28	-10	246	169
29	-10	246	170
30	-11	246	171
31	-11	246	172
32	-12	246	173
33	-12	247	174
34	-12	249	175
35	-13	249	176
36	-14	249	177
37	-14	249	178
38	-15	251	179
39	-15	251	180
40	-16	249	181
41	-17	249	182
42	-18	252	183
43	-19	249	184
44	-20	249	185
45	-20	249	186
46	-21	249	187
46	-22	249	188
