x	y	intensity	time_series
35	-54	247	1
36	-55	246	2
37	-55	245	3
38	-55	243	4
39	-55	242	5
40	-56	234	6
41	-56	234	7
42	-56	237	8
43	-56	239	9
44	-56	237	10
45	-56	235	11
46	-56	236	12
47	-57	235	13
48	-57	232	14
49	-57	229	15
50	-57	226	16
51	-57	225	17
52	-57	226	18
53	-57	228	19
54	-57	227	20
55	-57	226	21
56	-58	209	22
57	-58	193	23
58	-58	181	24
59	-59	138	25
60	-59	131	26
61	-59	121	27
62	-59	125	28
63	-60	112	29
64	-60	109	30
65	-60	111	31
66	-60	111	32
67	-61	117	33
68	-61	124	34
69	-61	133	35
70	-61	140	36
71	-61	134	37
72	-61	128	38
73	-61	126	39
74	-61	132	40
75	-61	138	41
76	-61	151	42
77	-61	156	43
78	-61	148	44
79	-61	136	45
80	-61	135	46
81	-61	134	47
82	-62	164	48
83	-62	152	49
84	-61	123	50
85	-61	120	51
86	-60	124	52
87	-59	124	53
87	-58	127	54
87	-57	139	55
87	-56	175	56
86	-55	198	57
86	-54	231	58
85	-53	249	59
84	-53	245	60
83	-53	240	61
82	-52	249	62
81	-51	251	63
80	-51	249	64
79	-50	242	65
78	-50	239	66
77	-50	242	67
76	-50	246	68
75	-49	248	69
74	-49	247	70
73	-49	252	71
72	-48	250	72
71	-48	247	73
70	-48	243	74
69	-47	250	75
68	-47	249	76
67	-46	248	77
66	-46	248	78
65	-46	249	79
64	-46	249	80
63	-45	248	81
62	-45	248	82
61	-44	247	83
60	-44	247	84
59	-44	247	85
58	-44	246	86
57	-43	245	87
56	-43	245	88
55	-43	244	89
54	-42	245	90
53	-42	246	91
52	-42	246	92
51	-42	246	93
50	-41	246	94
49	-41	246	95
48	-41	247	96
47	-41	248	97
46	-40	247	98
45	-40	248	99
44	-39	248	100
43	-39	250	101
42	-38	243	102
41	-38	242	103
40	-38	244	104
39	-37	246	105
38	-37	248	106
37	-37	249	107
36	-36	248	108
35	-36	249	109
34	-36	249	110
33	-36	248	111
32	-36	248	112
31	-36	248	113
30	-36	248	114
29	-35	247	115
28	-35	246	116
27	-35	245	117
26	-34	246	118
25	-34	249	119
24	-34	251	120
23	-33	247	121
22	-33	247	122
21	-32	245	123
20	-32	247	124
19	-32	247	125
18	-32	248	126
17	-31	247	127
16	-31	248	128
15	-30	247	129
14	-30	249	130
13	-29	248	131
12	-29	247	132
11	-28	248	133
10	-27	245	134
9	-26	246	135
8	-25	246	136
7	-24	247	137
7	-23	249	138
7	-22	249	139
7	-21	248	140
7	-20	246	141
7	-19	247	142
7	-18	248	143
7	-17	248	144
7	-16	247	145
8	-15	241	146
9	-15	242	147
10	-14	242	148
11	-13	247	149
12	-12	250	150
13	-12	250	151
14	-12	249	152
15	-12	248	153
16	-12	248	154
17	-12	246	155
18	-12	245	156
19	-11	246	157
20	-11	244	158
21	-11	244	159
22	-11	243	160
23	-11	243	161
24	-12	245	162
25	-12	245	163
26	-12	246	164
27	-12	247	165
28	-13	248	166
29	-13	249	167
30	-13	248	168
31	-14	245	169
32	-14	245	170
33	-14	246	171
34	-14	250	172
35	-15	248	173
36	-15	248	174
37	-16	242	175
38	-16	245	176
39	-17	248	177
40	-18	245	178
40	-19	246	179
41	-20	247	180
42	-21	249	181
43	-22	252	182
43	-23	253	183
44	-24	250	184
44	-25	246	185
45	-26	245	186
45	-27	247	187
46	-28	247	188
46	-29	249	189
46	-30	246	190
