x	y	intensity	time_series
7	-54	247	1
8	-54	247	2
9	-54	247	3
10	-53	246	4
11	-53	244	5
12	-53	243	6
13	-53	243	7
14	-52	247	8
15	-52	246	9
16	-52	241	10
17	-52	242	11
18	-52	244	12
19	-51	249	13
20	-51	251	14
21	-51	252	15
22	-51	252	16
23	-51	252	17
24	-51	252	18
25	-51	252	19
26	-50	249	20
27	-50	249	21
28	-50	251	22
29	-49	252	23
30	-49	250	24
31	-49	248	25
32	-48	243	26
32	-47	247	27
33	-46	250	28
33	-45	250	29
32	-44	243	30
32	-43	234	31
31	-42	236	32
30	-41	235	33
29	-40	233	34
28	-40	235	35
27	-39	239	36
26	-38	241	37
25	-38	242	38
24	-37	245	39
23	-37	244	40
22	-36	239	41
21	-36	238	42
20	-35	242	43
19	-35	246	44
18	-34	250	45
17	-33	252	46
16	-33	251	47
15	-32	248	48
14	-32	248	49
13	-31	252	50
12	-31	252	51
11	-30	251	52
11	-29	248	53
11	-28	249	54
10	-27	250	55
10	-26	251	56
10	-25	250	57
10	-24	251	58
10	-23	251	59
11	-22	250	60
11	-21	249	61
12	-20	249	62
