x	y	intensity	time_series
8	-47	245	1
9	-47	245	2
10	-47	243	3
11	-47	240	4
12	-47	240	5
13	-47	241	6
14	-47	243	7
15	-47	245	8
16	-47	246	9
17	-47	246	10
18	-47	246	11
19	-47	246	12
20	-47	246	13
21	-47	247	14
22	-47	248	15
23	-48	252	16
24	-48	252	17
25	-48	251	18
26	-48	251	19
27	-48	250	20
28	-48	250	21
29	-48	251	22
30	-48	250	23
31	-48	248	24
32	-48	248	25
33	-48	251	26
34	-48	250	27
35	-48	248	28
36	-49	250	29
37	-49	250	30
38	-49	251	31
39	-49	250	32
40	-49	249	33
41	-49	248	34
42	-49	247	35
43	-49	246	36
44	-48	246	37
44	-47	245	38
44	-46	245	39
44	-45	248	40
43	-44	251	41
43	-43	252	42
42	-42	251	43
41	-41	247	44
40	-40	247	45
39	-39	243	46
38	-38	244	47
37	-37	246	48
36	-37	249	49
35	-37	250	50
34	-36	246	51
33	-35	247	52
32	-35	247	53
31	-35	249	54
30	-35	251	55
29	-34	249	56
28	-34	249	57
27	-33	248	58
26	-33	249	59
25	-33	248	60
24	-32	245	61
23	-31	243	62
22	-31	243	63
21	-31	245	64
20	-30	248	65
19	-30	250	66
18	-30	250	67
17	-30	250	68
16	-29	250	69
15	-29	249	70
14	-29	245	71
13	-29	244	72
12	-28	250	73
11	-28	252	74
10	-27	251	75
9	-26	250	76
8	-25	250	77
7	-24	247	78
7	-23	243	79
6	-22	240	80
6	-21	232	81
6	-20	236	82
7	-19	247	83
7	-18	252	84
8	-17	243	85
9	-16	242	86
10	-16	243	87
11	-15	249	88
12	-14	249	89
13	-14	248	90
14	-14	250	91
15	-14	249	92
16	-14	247	93
17	-14	250	94
18	-14	251	95
19	-15	249	96
20	-15	248	97
21	-16	249	98
