x	y	intensity	time_series
23	-50	244	1
24	-50	242	2
25	-50	241	3
26	-50	241	4
27	-50	241	5
28	-50	241	6
29	-51	245	7
30	-52	246	8
31	-52	245	9
32	-52	245	10
33	-52	246	11
34	-52	246	12
35	-52	245	13
36	-52	243	14
37	-52	242	15
38	-52	240	16
39	-52	240	17
40	-53	240	18
41	-53	240	19
42	-53	240	20
43	-53	240	21
44	-53	239	22
45	-53	239	23
46	-53	239	24
47	-53	239	25
48	-53	239	26
49	-53	239	27
50	-53	240	28
51	-53	241	29
52	-53	244	30
53	-53	244	31
54	-53	245	32
55	-53	244	33
56	-53	243	34
57	-53	242	35
58	-53	241	36
59	-53	241	37
60	-53	241	38
61	-53	242	39
62	-52	243	40
63	-52	241	41
64	-52	240	42
65	-52	240	43
66	-52	241	44
67	-51	243	45
68	-51	245	46
69	-51	246	47
70	-51	245	48
71	-51	244	49
72	-51	246	50
73	-50	244	51
74	-50	242	52
75	-49	240	53
76	-49	241	54
77	-48	247	55
78	-48	247	56
79	-47	245	57
79	-46	246	58
79	-45	246	59
79	-44	245	60
79	-43	245	61
78	-42	247	62
77	-41	246	63
76	-40	242	64
75	-39	241	65
74	-39	242	66
73	-39	244	67
72	-39	246	68
71	-39	245	69
70	-38	249	70
69	-37	249	71
68	-37	250	72
67	-37	249	73
66	-36	244	74
65	-36	243	75
64	-36	244	76
63	-35	245	77
62	-35	247	78
61	-35	246	79
60	-35	244	80
59	-34	244	81
58	-34	244	82
57	-34	245	83
56	-34	246	84
55	-33	251	85
54	-33	251	86
53	-33	250	87
52	-32	248	88
51	-32	247	89
50	-32	245	90
49	-32	244	91
48	-32	243	92
47	-31	245	93
46	-31	246	94
45	-31	247	95
44	-31	247	96
43	-31	244	97
42	-31	242	98
41	-31	240	99
40	-30	241	100
39	-30	242	101
38	-30	245	102
37	-30	247	103
36	-30	248	104
35	-30	248	105
34	-30	248	106
33	-30	247	107
32	-30	247	108
31	-29	246	109
30	-29	247	110
29	-29	247	111
28	-29	247	112
27	-29	245	113
26	-29	245	114
25	-29	245	115
24	-29	244	116
23	-29	244	117
22	-28	242	118
21	-28	242	119
20	-28	242	120
19	-28	242	121
18	-28	242	122
17	-27	243	123
16	-27	243	124
15	-27	243	125
14	-26	243	126
13	-26	243	127
12	-25	243	128
11	-25	242	129
10	-24	244	130
9	-23	246	131
8	-22	247	132
8	-21	248	133
7	-20	248	134
7	-19	247	135
8	-18	249	136
8	-17	248	137
9	-16	246	138
9	-15	245	139
10	-14	245	140
11	-14	248	141
12	-13	249	142
13	-13	250	143
14	-12	249	144
15	-12	248	145
16	-11	243	146
17	-10	242	147
18	-10	244	148
19	-10	246	149
20	-9	246	150
21	-9	250	151
22	-9	247	152
23	-8	244	153
24	-8	244	154
25	-7	245	155
26	-7	246	156
27	-7	245	157
28	-7	245	158
29	-6	243	159
30	-6	243	160
31	-6	245	161
32	-6	246	162
33	-6	247	163
34	-6	247	164
35	-6	246	165
36	-6	244	166
37	-6	244	167
38	-5	241	168
39	-5	242	169
40	-6	247	170
41	-6	244	171
42	-6	242	172
43	-6	242	173
44	-6	243	174
45	-6	244	175
46	-6	244	176
47	-6	244	177
48	-7	243	178
49	-7	243	179
50	-7	243	180
51	-7	244	181
52	-8	246	182
53	-8	247	183
54	-9	249	184
55	-9	249	185
56	-10	248	186
57	-11	247	187
58	-12	247	188
59	-13	248	189
59	-14	249	190
59	-15	247	191
59	-16	247	192
