x	y	intensity	time_series
20	-42	247	1
21	-42	247	2
22	-42	246	3
23	-42	246	4
24	-43	247	5
25	-43	246	6
26	-43	246	7
27	-43	246	8
28	-44	246	9
29	-44	246	10
30	-44	247	11
31	-44	246	12
32	-45	247	13
33	-45	247	14
34	-45	248	15
35	-44	250	16
36	-45	247	17
37	-45	246	18
38	-46	245	19
39	-46	246	20
40	-46	247	21
41	-47	249	22
42	-47	247	23
43	-47	244	24
44	-47	242	25
45	-48	244	26
46	-48	245	27
47	-48	245	28
48	-48	245	29
49	-48	244	30
50	-48	243	31
51	-49	239	32
52	-49	241	33
53	-49	243	34
54	-49	246	35
55	-49	247	36
56	-49	246	37
57	-49	244	38
58	-49	242	39
59	-49	240	40
60	-49	240	41
61	-49	240	42
62	-49	241	43
63	-49	242	44
64	-49	243	45
65	-48	240	46
66	-47	238	47
66	-46	239	48
66	-45	238	49
66	-44	240	50
66	-43	240	51
65	-42	234	52
64	-41	224	53
63	-41	226	54
62	-40	233	55
61	-40	237	56
60	-40	242	57
59	-39	250	58
58	-39	251	59
57	-39	252	60
56	-38	250	61
55	-38	248	62
54	-37	243	63
53	-37	244	64
52	-37	244	65
51	-37	243	66
50	-37	242	67
49	-36	244	68
48	-36	244	69
47	-36	245	70
46	-36	246	71
45	-35	245	72
44	-34	243	73
43	-34	244	74
42	-34	245	75
41	-33	246	76
40	-33	246	77
39	-33	246	78
38	-32	246	79
37	-32	247	80
36	-32	247	81
35	-32	248	82
34	-31	250	83
33	-31	249	84
32	-31	245	85
31	-30	247	86
30	-30	248	87
29	-29	251	88
28	-29	250	89
27	-29	246	90
26	-28	247	91
25	-28	249	92
24	-28	248	93
23	-27	242	94
22	-27	248	95
21	-27	247	96
20	-27	246	97
19	-27	247	98
18	-26	252	99
17	-26	252	100
16	-25	250	101
15	-25	251	102
14	-24	247	103
13	-24	245	104
12	-23	246	105
11	-23	245	106
10	-22	246	107
9	-21	244	108
8	-20	243	109
7	-19	246	110
7	-18	247	111
7	-17	248	112
7	-16	248	113
8	-15	247	114
8	-14	244	115
8	-13	242	116
8	-12	245	117
9	-11	249	118
10	-11	248	119
11	-10	247	120
12	-10	248	121
13	-10	248	122
14	-10	246	123
15	-10	248	124
16	-10	250	125
17	-11	249	126
18	-11	246	127
19	-11	245	128
20	-12	247	129
21	-13	248	130
