x	y	intensity	time_series
7	-50	251	1
8	-50	252	2
9	-50	252	3
10	-50	252	4
11	-51	252	5
12	-51	249	6
13	-51	246	7
14	-51	243	8
15	-51	243	9
16	-51	245	10
17	-51	247	11
18	-51	248	12
19	-51	247	13
20	-51	249	14
21	-51	252	15
22	-51	254	16
23	-51	254	17
24	-50	253	18
25	-50	252	19
26	-50	252	20
27	-50	251	21
28	-49	251	22
28	-48	251	23
28	-47	252	24
29	-46	253	25
29	-45	254	26
28	-44	253	27
28	-43	251	28
28	-42	250	29
27	-41	246	30
26	-40	248	31
25	-39	253	32
24	-39	254	33
23	-38	252	34
22	-38	251	35
21	-37	250	36
20	-36	249	37
19	-35	250	38
18	-34	250	39
17	-33	248	40
16	-32	244	41
15	-31	249	42
14	-30	251	43
13	-30	251	44
12	-29	253	45
11	-29	252	46
10	-28	252	47
10	-27	252	48
9	-26	250	49
9	-25	251	50
8	-24	250	51
7	-23	250	52
7	-22	247	53
7	-21	248	54
7	-20	254	55
7	-19	254	56
7	-18	250	57
6	-17	245	58
6	-16	244	59
7	-15	251	60
7	-14	254	61
7	-13	254	62
7	-12	253	63
7	-11	253	64
7	-10	252	65
8	-9	249	66
9	-8	247	67
10	-7	248	68
11	-6	252	69
