x	y	intensity	time_series
54	-47	246	1
53	-47	246	2
52	-47	248	3
51	-47	250	4
50	-46	248	5
49	-46	249	6
48	-46	246	7
47	-46	244	8
46	-46	243	9
45	-46	243	10
44	-45	245	11
43	-45	246	12
42	-45	246	13
41	-45	244	14
40	-45	243	15
39	-44	247	16
38	-44	248	17
37	-44	249	18
36	-44	249	19
35	-44	248	20
34	-44	246	21
34	-43	249	22
34	-42	251	23
33	-41	251	24
33	-40	249	25
32	-39	245	26
31	-38	248	27
30	-38	249	28
29	-37	248	29
28	-37	245	30
27	-36	244	31
26	-36	243	32
25	-36	242	33
24	-35	241	34
23	-35	243	35
22	-34	250	36
21	-34	251	37
20	-34	251	38
19	-33	251	39
18	-33	251	40
17	-32	252	41
16	-32	251	42
15	-31	252	43
14	-31	252	44
13	-30	252	45
12	-29	251	46
11	-28	251	47
10	-28	251	48
9	-27	251	49
8	-26	251	50
7	-25	246	51
7	-24	247	52
6	-23	247	53
6	-22	246	54
6	-21	244	55
6	-20	245	56
7	-19	246	57
7	-18	249	58
8	-17	248	59
9	-16	250	60
10	-15	251	61
11	-15	250	62
12	-15	250	63
13	-14	252	64
14	-14	252	65
15	-14	251	66
16	-14	249	67
17	-15	251	68
18	-15	252	69
19	-15	251	70
20	-15	249	71
21	-15	249	72
22	-16	246	73
23	-16	245	74
24	-17	248	75
25	-17	249	76
26	-17	251	77
27	-17	251	78
