x	y	intensity	time_series
4	-62	136	1
5	-63	125	2
6	-63	126	3
7	-64	119	4
8	-64	121	5
9	-65	118	6
10	-65	122	7
11	-66	148	8
12	-66	172	9
13	-66	189	10
14	-66	199	11
15	-66	206	12
16	-67	222	13
17	-67	220	14
18	-68	223	15
19	-68	225	16
20	-68	228	17
21	-68	230	18
22	-68	230	19
23	-68	228	20
24	-68	228	21
25	-68	230	22
26	-69	227	23
27	-69	229	24
28	-69	230	25
29	-70	234	26
30	-70	237	27
31	-70	235	28
32	-70	235	29
33	-70	236	30
34	-70	239	31
35	-70	240	32
36	-70	239	33
37	-70	238	34
38	-70	238	35
39	-70	237	36
40	-70	234	37
41	-70	240	38
42	-70	239	39
43	-70	231	40
44	-70	214	41
45	-70	199	42
46	-69	195	43
47	-68	180	44
48	-68	169	45
49	-67	168	46
50	-66	165	47
51	-65	152	48
51	-64	147	49
51	-63	142	50
51	-62	139	51
51	-61	140	52
50	-60	149	53
49	-59	155	54
49	-58	162	55
49	-57	169	56
49	-56	182	57
48	-55	190	58
47	-54	203	59
46	-53	222	60
45	-53	221	61
44	-52	240	62
44	-51	241	63
43	-50	247	64
42	-49	250	65
41	-48	250	66
40	-47	247	67
39	-46	246	68
38	-46	245	69
37	-45	244	70
36	-44	250	71
35	-44	251	72
34	-43	247	73
33	-43	244	74
32	-42	241	75
31	-41	243	76
30	-40	247	77
29	-39	250	78
28	-38	248	79
27	-37	246	80
26	-37	245	81
25	-36	246	82
24	-36	246	83
23	-35	247	84
22	-34	248	85
21	-33	249	86
20	-33	248	87
19	-32	247	88
18	-32	243	89
17	-31	246	90
16	-31	247	91
15	-31	246	92
14	-30	249	93
13	-30	247	94
12	-29	248	95
11	-28	250	96
10	-27	251	97
10	-26	251	98
9	-25	251	99
9	-24	250	100
9	-23	248	101
9	-22	246	102
9	-21	247	103
9	-20	248	104
9	-19	247	105
10	-18	241	106
10	-17	240	107
10	-16	242	108
10	-15	245	109
10	-14	247	110
11	-13	247	111
12	-12	247	112
13	-11	247	113
14	-10	246	114
15	-9	245	115
16	-9	245	116
17	-8	242	117
18	-8	244	118
19	-8	243	119
20	-7	244	120
21	-7	242	121
22	-7	242	122
23	-6	239	123
24	-6	241	124
25	-6	242	125
26	-6	242	126
27	-6	242	127
28	-6	244	128
29	-6	244	129
30	-6	243	130
31	-6	240	131
32	-6	237	132
33	-6	237	133
34	-6	238	134
35	-6	241	135
36	-7	241	136
