x	y	intensity	time_series
0	-51	241	1
1	-51	242	2
2	-51	244	3
3	-51	246	4
4	-51	247	5
5	-52	245	6
6	-52	244	7
7	-52	245	8
8	-52	245	9
9	-53	242	10
10	-53	242	11
11	-53	244	12
12	-53	247	13
13	-53	249	14
14	-53	250	15
15	-53	250	16
16	-54	246	17
17	-54	245	18
18	-54	247	19
19	-54	248	20
20	-54	245	21
21	-54	243	22
22	-54	245	23
23	-54	245	24
24	-54	243	25
25	-54	241	26
26	-55	240	27
27	-55	244	28
28	-55	244	29
29	-55	241	30
30	-54	239	31
31	-53	242	32
31	-52	247	33
31	-51	251	34
32	-50	250	35
32	-49	248	36
31	-48	249	37
31	-47	250	38
31	-46	249	39
30	-45	246	40
29	-44	246	41
28	-43	248	42
27	-42	247	43
26	-41	248	44
25	-41	247	45
24	-40	247	46
23	-40	246	47
22	-39	248	48
21	-38	250	49
20	-37	249	50
19	-37	248	51
18	-36	248	52
17	-35	248	53
16	-35	245	54
15	-34	241	55
14	-33	250	56
13	-33	250	57
12	-32	249	58
11	-31	248	59
10	-31	247	60
9	-30	249	61
8	-29	251	62
7	-28	251	63
6	-27	251	64
6	-26	249	65
6	-25	249	66
6	-24	250	67
5	-23	248	68
5	-22	248	69
5	-21	247	70
6	-20	247	71
6	-19	249	72
6	-18	250	73
7	-17	246	74
8	-16	253	75
9	-16	253	76
10	-16	253	77
