x	y	intensity	time_series
3	-63	231	1
4	-63	231	2
5	-63	229	3
6	-63	227	4
7	-63	228	5
8	-63	228	6
9	-63	228	7
10	-63	235	8
11	-63	244	9
12	-63	244	10
13	-63	245	11
14	-63	245	12
15	-63	245	13
16	-63	245	14
17	-63	245	15
18	-64	244	16
19	-64	244	17
20	-64	243	18
21	-64	243	19
22	-64	244	20
23	-64	245	21
24	-64	245	22
25	-64	245	23
26	-64	246	24
27	-64	246	25
28	-64	245	26
29	-64	244	27
30	-64	242	28
31	-64	235	29
32	-64	231	30
33	-64	231	31
34	-64	232	32
35	-64	233	33
36	-64	234	34
37	-64	235	35
38	-63	236	36
39	-63	236	37
40	-63	237	38
41	-63	238	39
42	-63	238	40
43	-63	235	41
44	-63	232	42
45	-63	230	43
46	-62	209	44
47	-62	201	45
48	-62	189	46
49	-62	176	47
50	-61	148	48
51	-61	146	49
52	-60	151	50
53	-60	151	51
54	-60	154	52
55	-59	165	53
55	-58	181	54
55	-57	201	55
56	-56	223	56
56	-55	227	57
56	-54	234	58
55	-53	238	59
54	-52	242	60
53	-51	243	61
52	-50	243	62
51	-50	240	63
50	-49	239	64
49	-49	241	65
48	-48	245	66
47	-48	248	67
46	-48	250	68
45	-47	246	69
44	-47	245	70
43	-47	244	71
42	-46	244	72
41	-46	244	73
40	-46	244	74
39	-46	242	75
38	-46	242	76
37	-45	247	77
36	-45	246	78
35	-44	242	79
34	-43	241	80
33	-43	245	81
32	-43	249	82
31	-43	247	83
30	-43	239	84
29	-43	239	85
28	-42	236	86
27	-42	234	87
26	-41	243	88
25	-41	243	89
24	-41	244	90
23	-41	244	91
22	-41	245	92
21	-40	250	93
20	-40	247	94
19	-39	248	95
18	-39	247	96
17	-39	247	97
16	-38	247	98
15	-38	249	99
14	-37	250	100
13	-37	251	101
12	-36	250	102
11	-36	249	103
10	-35	249	104
9	-34	247	105
9	-33	245	106
9	-32	247	107
9	-31	247	108
8	-30	248	109
8	-29	248	110
9	-28	248	111
9	-27	251	112
9	-26	251	113
10	-25	249	114
11	-24	247	115
12	-23	249	116
13	-23	249	117
14	-23	250	118
15	-22	249	119
16	-22	250	120
17	-22	250	121
18	-22	249	122
19	-22	248	123
20	-22	245	124
