x	y	intensity	time_series
6	-53	239	1
7	-53	242	2
8	-53	242	3
9	-54	241	4
10	-54	240	5
11	-54	240	6
12	-54	241	7
13	-54	243	8
14	-54	244	9
15	-54	244	10
16	-54	244	11
17	-55	242	12
18	-55	239	13
19	-55	236	14
20	-55	237	15
21	-56	236	16
22	-56	235	17
23	-56	234	18
24	-56	230	19
25	-56	227	20
26	-57	224	21
27	-57	227	22
28	-57	227	23
29	-57	219	24
30	-57	225	25
31	-58	216	26
32	-59	175	27
33	-59	161	28
34	-59	147	29
35	-60	122	30
36	-60	129	31
37	-60	133	32
38	-60	131	33
39	-60	138	34
40	-60	139	35
41	-60	139	36
42	-60	137	37
43	-60	135	38
44	-61	135	39
45	-61	137	40
46	-61	141	41
47	-61	147	42
48	-61	152	43
49	-61	143	44
50	-61	138	45
51	-61	140	46
52	-61	140	47
53	-61	137	48
54	-61	137	49
55	-61	140	50
56	-61	143	51
57	-61	141	52
58	-61	135	53
59	-61	132	54
60	-60	127	55
61	-60	129	56
62	-60	129	57
63	-59	131	58
64	-58	151	59
64	-57	183	60
64	-56	210	61
64	-55	223	62
64	-54	230	63
63	-53	236	64
62	-52	238	65
61	-51	239	66
60	-50	240	67
59	-49	240	68
58	-49	241	69
57	-48	243	70
56	-48	246	71
55	-48	247	72
54	-47	247	73
53	-47	247	74
52	-46	244	75
51	-45	239	76
50	-44	237	77
49	-44	237	78
48	-44	239	79
47	-44	242	80
46	-43	247	81
45	-43	247	82
44	-43	250	83
43	-42	248	84
42	-42	249	85
41	-41	245	86
40	-41	246	87
39	-40	249	88
38	-40	252	89
37	-39	250	90
36	-38	242	91
35	-38	242	92
34	-38	244	93
33	-38	247	94
32	-37	248	95
31	-37	246	96
30	-36	247	97
29	-36	247	98
28	-36	244	99
27	-36	245	100
26	-35	246	101
25	-35	247	102
24	-35	249	103
23	-35	250	104
22	-34	240	105
21	-34	242	106
20	-33	245	107
19	-32	250	108
18	-32	250	109
17	-32	250	110
16	-31	246	111
15	-30	243	112
14	-30	244	113
13	-29	244	114
12	-29	245	115
11	-28	249	116
10	-27	250	117
9	-26	251	118
9	-25	249	119
9	-24	251	120
9	-23	251	121
8	-22	251	122
8	-21	249	123
8	-20	250	124
9	-19	249	125
9	-18	246	126
9	-17	247	127
9	-16	251	128
10	-15	248	129
11	-14	249	130
12	-13	250	131
13	-13	250	132
14	-12	253	133
15	-12	252	134
16	-11	251	135
