x	y	intensity	time_series
11	-56	238	1
12	-56	238	2
13	-56	238	3
14	-57	238	4
15	-57	238	5
16	-57	238	6
17	-57	238	7
18	-57	238	8
19	-57	238	9
20	-57	238	10
21	-58	206	11
22	-58	194	12
23	-58	185	13
24	-58	185	14
25	-59	155	15
26	-59	149	16
27	-59	142	17
28	-59	137	18
29	-59	137	19
30	-59	137	20
31	-59	138	21
32	-60	132	22
33	-60	131	23
34	-60	131	24
35	-60	131	25
36	-59	138	26
37	-59	142	27
38	-59	146	28
39	-59	149	29
40	-59	150	30
41	-59	146	31
42	-59	143	32
43	-59	144	33
44	-59	147	34
45	-59	150	35
46	-59	152	36
47	-59	151	37
48	-59	150	38
49	-59	150	39
50	-59	153	40
51	-59	156	41
52	-59	157	42
53	-59	157	43
54	-59	155	44
55	-58	176	45
56	-57	214	46
56	-56	235	47
57	-55	248	48
57	-54	253	49
57	-53	254	50
56	-52	252	51
55	-51	245	52
54	-50	245	53
53	-49	249	54
52	-49	250	55
51	-48	253	56
50	-47	253	57
49	-47	250	58
48	-47	248	59
47	-46	247	60
46	-46	247	61
45	-45	247	62
44	-45	247	63
43	-45	247	64
42	-44	245	65
41	-44	244	66
40	-43	244	67
39	-43	245	68
38	-42	246	69
37	-42	247	70
36	-41	249	71
35	-41	250	72
34	-41	251	73
33	-40	253	74
32	-39	253	75
31	-39	252	76
30	-39	251	77
29	-39	250	78
28	-38	251	79
27	-38	251	80
26	-37	248	81
25	-37	248	82
24	-37	247	83
23	-37	248	84
22	-36	249	85
21	-36	250	86
20	-36	251	87
19	-36	251	88
18	-35	251	89
17	-35	250	90
16	-35	249	91
15	-34	252	92
14	-34	251	93
13	-33	251	94
12	-33	250	95
11	-32	246	96
10	-32	244	97
9	-31	246	98
8	-30	248	99
7	-29	251	100
7	-28	251	101
7	-27	247	102
7	-26	242	103
7	-25	245	104
8	-24	248	105
9	-23	247	106
10	-23	247	107
11	-23	246	108
12	-23	247	109
13	-24	249	110
14	-24	250	111
15	-24	250	112
16	-24	250	113
17	-24	250	114
18	-24	249	115
19	-24	247	116
20	-24	248	117
21	-25	251	118
22	-25	253	119
