x	y	intensity	time_series
7	-45	246	1
8	-45	247	2
9	-46	248	3
10	-46	248	4
11	-46	249	5
12	-46	249	6
13	-46	250	7
14	-47	248	8
15	-47	248	9
16	-47	246	10
17	-47	243	11
18	-47	240	12
19	-47	239	13
20	-47	238	14
21	-47	239	15
22	-47	239	16
23	-47	239	17
24	-47	238	18
25	-47	236	19
26	-48	230	20
27	-48	233	21
28	-48	234	22
29	-49	228	23
30	-49	228	24
31	-49	229	25
32	-49	231	26
33	-49	230	27
34	-49	229	28
35	-49	229	29
36	-49	231	30
37	-49	233	31
38	-49	235	32
39	-49	237	33
40	-49	237	34
41	-49	236	35
42	-49	238	36
43	-49	239	37
44	-49	238	38
45	-49	238	39
46	-49	238	40
47	-49	239	41
48	-49	240	42
49	-49	242	43
50	-49	244	44
51	-49	245	45
52	-49	243	46
53	-49	241	47
54	-48	239	48
55	-47	237	49
55	-46	241	50
54	-45	246	51
54	-44	248	52
54	-43	247	53
54	-42	249	54
53	-41	252	55
53	-40	251	56
52	-39	246	57
51	-39	246	58
50	-38	244	59
49	-37	247	60
48	-36	252	61
47	-35	252	62
46	-34	248	63
45	-34	246	64
44	-33	247	65
43	-32	250	66
42	-31	249	67
41	-30	249	68
40	-29	246	69
39	-28	248	70
38	-28	249	71
37	-27	251	72
36	-26	251	73
35	-25	248	74
34	-25	247	75
33	-24	242	76
32	-23	241	77
31	-22	244	78
30	-21	247	79
30	-20	250	80
29	-19	249	81
28	-18	253	82
28	-17	252	83
28	-16	250	84
28	-15	249	85
28	-14	250	86
28	-13	250	87
28	-12	249	88
29	-11	249	89
30	-10	253	90
31	-10	253	91
32	-9	249	92
33	-9	249	93
34	-9	250	94
35	-9	251	95
36	-9	252	96
37	-9	252	97
38	-9	252	98
39	-9	251	99
40	-9	251	100
41	-9	251	101
42	-9	251	102
43	-9	252	103
44	-9	251	104
45	-10	250	105
46	-10	250	106
47	-11	245	107
48	-11	245	108
49	-12	250	109
