x	y	intensity	time_series
6	-43	246	1
7	-44	234	2
8	-44	238	3
9	-45	242	4
10	-45	240	5
11	-45	239	6
12	-46	241	7
13	-46	244	8
14	-46	247	9
15	-47	246	10
16	-48	238	11
17	-48	240	12
18	-49	242	13
19	-49	243	14
20	-49	242	15
21	-50	245	16
22	-50	246	17
23	-50	246	18
24	-50	245	19
25	-50	244	20
26	-50	242	21
27	-51	243	22
28	-51	244	23
29	-51	244	24
30	-51	245	25
31	-52	243	26
32	-52	243	27
33	-52	242	28
34	-52	242	29
35	-53	237	30
36	-53	237	31
37	-53	237	32
38	-53	237	33
39	-53	237	34
40	-53	241	35
41	-53	244	36
42	-53	241	37
43	-52	244	38
43	-51	244	39
43	-50	242	40
43	-49	239	41
43	-48	238	42
42	-47	246	43
42	-46	247	44
41	-45	242	45
40	-45	243	46
39	-44	245	47
38	-44	246	48
37	-43	247	49
36	-42	247	50
35	-41	247	51
34	-40	249	52
33	-39	251	53
32	-38	251	54
31	-38	251	55
30	-38	250	56
29	-37	250	57
28	-36	253	58
27	-35	251	59
26	-34	249	60
25	-34	247	61
24	-33	249	62
23	-33	250	63
22	-32	252	64
21	-32	252	65
20	-31	251	66
19	-30	252	67
18	-29	249	68
17	-29	247	69
16	-28	247	70
15	-27	243	71
14	-26	244	72
13	-25	244	73
13	-24	241	74
12	-23	243	75
11	-22	241	76
11	-21	241	77
11	-20	245	78
11	-19	250	79
11	-18	251	80
11	-17	249	81
12	-16	245	82
12	-15	247	83
13	-14	250	84
14	-13	251	85
15	-13	251	86
16	-12	249	87
17	-11	247	88
18	-11	246	89
19	-11	246	90
20	-10	250	91
21	-10	249	92
22	-9	249	93
23	-9	249	94
24	-9	249	95
25	-9	249	96
26	-9	250	97
27	-9	249	98
28	-9	249	99
