x	y	intensity	time_series
15	-67	248	1
16	-67	247	2
17	-67	245	3
18	-68	240	4
19	-68	238	5
20	-68	239	6
21	-69	246	7
22	-70	247	8
23	-70	248	9
24	-70	250	10
25	-71	253	11
26	-72	245	12
27	-72	242	13
28	-72	245	14
29	-72	245	15
30	-72	243	16
31	-73	243	17
32	-74	243	18
33	-74	239	19
34	-74	237	20
35	-74	237	21
36	-74	239	22
37	-74	241	23
38	-75	207	24
39	-75	190	25
40	-75	177	26
41	-75	167	27
42	-75	160	28
43	-76	141	29
44	-76	143	30
45	-76	143	31
46	-76	138	32
47	-76	128	33
48	-76	118	34
49	-76	113	35
50	-76	113	36
51	-76	116	37
52	-76	118	38
53	-76	124	39
54	-76	132	40
55	-76	138	41
56	-76	138	42
57	-76	149	43
58	-76	157	44
59	-75	142	45
60	-75	150	46
61	-75	169	47
62	-75	192	48
63	-74	179	49
64	-74	198	50
65	-73	189	51
66	-72	176	52
67	-71	161	53
67	-70	145	54
68	-69	148	55
68	-68	143	56
68	-67	134	57
69	-66	142	58
69	-65	124	59
69	-64	117	60
68	-63	110	61
68	-62	111	62
67	-61	125	63
66	-60	134	64
66	-59	136	65
66	-58	137	66
66	-57	137	67
66	-56	137	68
66	-55	147	69
65	-54	159	70
64	-53	179	71
63	-52	199	72
62	-51	220	73
61	-51	233	74
60	-50	224	75
59	-49	211	76
58	-49	216	77
57	-48	189	78
56	-48	202	79
55	-47	167	80
54	-47	171	81
53	-46	148	82
52	-46	145	83
51	-45	138	84
50	-45	136	85
49	-44	133	86
48	-44	130	87
47	-43	127	88
46	-42	139	89
45	-42	141	90
44	-41	178	91
43	-41	184	92
42	-41	191	93
41	-41	205	94
40	-40	239	95
39	-40	246	96
38	-39	252	97
37	-39	247	98
36	-38	252	99
35	-38	252	100
34	-38	251	101
33	-38	250	102
32	-37	251	103
31	-37	251	104
30	-37	252	105
29	-36	253	106
28	-36	253	107
27	-35	252	108
26	-35	252	109
25	-34	253	110
24	-34	254	111
23	-33	253	112
22	-33	253	113
21	-32	252	114
20	-32	252	115
19	-31	252	116
18	-31	252	117
17	-31	252	118
16	-30	252	119
15	-29	250	120
14	-29	251	121
13	-28	250	122
12	-27	250	123
11	-27	251	124
10	-26	249	125
9	-25	244	126
9	-24	244	127
9	-23	250	128
8	-22	253	129
8	-21	253	130
8	-20	251	131
8	-19	249	132
8	-18	250	133
8	-17	251	134
9	-16	251	135
10	-15	246	136
11	-15	246	137
12	-14	248	138
13	-14	249	139
14	-14	251	140
15	-14	252	141
16	-14	252	142
17	-14	252	143
18	-14	252	144
19	-14	252	145
20	-14	252	146
21	-14	252	147
22	-14	252	148
23	-15	252	149
24	-15	253	150
25	-15	254	151
26	-15	252	152
27	-15	251	153
28	-16	249	154
29	-16	250	155
30	-17	249	156
31	-17	250	157
32	-17	250	158
33	-18	249	159
34	-18	246	160
35	-18	244	161
36	-18	245	162
37	-18	250	163
38	-18	249	164
39	-19	248	165
40	-19	247	166
41	-19	247	167
42	-20	248	168
43	-20	248	169
44	-20	248	170
