x	y	intensity	time_series
16	-56	232	1
17	-55	239	2
18	-55	240	3
19	-55	240	4
20	-55	240	5
21	-55	242	6
22	-55	243	7
23	-55	245	8
24	-56	242	9
25	-56	244	10
26	-56	244	11
27	-56	241	12
28	-57	231	13
29	-58	221	14
30	-58	219	15
31	-58	213	16
32	-58	204	17
33	-59	147	18
34	-59	154	19
35	-59	157	20
36	-59	149	21
37	-59	148	22
38	-59	132	23
39	-59	132	24
40	-59	137	25
41	-59	131	26
42	-60	138	27
43	-60	132	28
44	-60	126	29
45	-60	124	30
46	-59	124	31
47	-59	125	32
48	-59	129	33
49	-59	133	34
50	-59	135	35
51	-59	136	36
52	-59	137	37
53	-59	141	38
54	-59	142	39
55	-59	135	40
56	-58	172	41
57	-58	178	42
58	-58	187	43
59	-57	223	44
60	-56	239	45
60	-55	243	46
61	-54	237	47
61	-53	234	48
61	-52	243	49
61	-51	247	50
60	-50	246	51
59	-49	240	52
58	-48	239	53
57	-47	245	54
56	-47	243	55
55	-46	248	56
54	-46	246	57
53	-45	249	58
52	-45	250	59
51	-44	252	60
50	-44	251	61
49	-43	250	62
48	-43	249	63
47	-43	249	64
46	-42	249	65
45	-42	249	66
44	-41	250	67
43	-41	251	68
42	-41	251	69
41	-41	251	70
40	-41	251	71
39	-41	250	72
38	-41	249	73
37	-40	250	74
36	-40	251	75
35	-40	251	76
34	-40	251	77
33	-40	250	78
32	-40	251	79
31	-39	247	80
30	-38	244	81
29	-38	248	82
28	-38	251	83
27	-38	253	84
26	-38	253	85
25	-38	253	86
24	-37	251	87
23	-37	249	88
22	-37	249	89
21	-36	246	90
20	-36	247	91
19	-36	247	92
18	-36	248	93
17	-36	249	94
16	-36	250	95
15	-36	251	96
14	-35	252	97
13	-35	247	98
12	-34	244	99
11	-33	251	100
10	-32	252	101
10	-31	249	102
10	-30	246	103
10	-29	247	104
11	-28	249	105
12	-27	253	106
13	-27	253	107
14	-26	250	108
15	-26	250	109
16	-26	250	110
17	-26	250	111
18	-26	250	112
19	-25	250	113
20	-25	251	114
21	-25	251	115
22	-25	252	116
23	-25	253	117
24	-25	253	118
25	-25	253	119
