x	y	intensity	time_series
12	-49	252	1
13	-49	251	2
14	-49	251	3
15	-49	251	4
16	-49	250	5
17	-50	249	6
18	-50	250	7
19	-50	251	8
20	-51	253	9
21	-51	253	10
22	-52	246	11
23	-52	245	12
24	-52	244	13
25	-52	243	14
26	-53	240	15
27	-53	243	16
28	-54	245	17
29	-54	247	18
30	-55	245	19
31	-55	245	20
32	-55	243	21
33	-55	242	22
34	-56	240	23
35	-56	239	24
36	-56	238	25
37	-56	237	26
38	-55	241	27
39	-54	247	28
38	-53	246	29
38	-52	245	30
37	-51	246	31
37	-50	250	32
37	-49	252	33
36	-48	250	34
36	-47	246	35
35	-46	248	36
34	-45	244	37
33	-44	240	38
32	-43	240	39
31	-42	250	40
30	-41	247	41
29	-40	251	42
28	-39	250	43
27	-38	250	44
26	-38	250	45
25	-37	250	46
25	-36	250	47
24	-35	250	48
23	-35	249	49
22	-34	250	50
21	-33	250	51
20	-32	247	52
19	-32	246	53
18	-31	250	54
17	-31	252	55
16	-30	249	56
15	-30	248	57
14	-29	250	58
13	-28	250	59
13	-27	240	60
12	-26	246	61
12	-25	251	62
12	-24	247	63
11	-23	243	64
11	-22	247	65
10	-21	250	66
10	-20	253	67
11	-19	252	68
12	-18	248	69
13	-18	248	70
14	-17	250	71
15	-16	252	72
16	-15	253	73
16	-14	253	74
17	-13	251	75
17	-12	250	76
18	-11	250	77
19	-10	250	78
20	-9	248	79
21	-8	242	80
22	-7	246	81
23	-6	250	82
24	-5	252	83
25	-5	251	84
26	-4	250	85
27	-4	249	86
28	-4	248	87
